"Occupation Title","Occupation Code","Occupation Type","2023 Employment","2023 Percent of Industry","2023 Percent of Occupation","Projected 2033 Employment","Projected 2033 Percent of Industry","Projected 2033 Percent of Occupation","Employment Change, 2023-2033","Employment Percent Change, 2023-2033","Occupation Sort","Display Level"
"Brickmasons and blockmasons","=""47-2021""","Line Item","0.5","0.0","0.7","0.6","0.0","0.8","0.1","14.0","769","4"
"Stonemasons","=""47-2022""","Line Item","1.5","0.0","11.8","1.4","0.0","11.3","-0.1","-7.7","770","4"
"Carpenters","=""47-2031""","Line Item","28.9","0.2","3.1","28.8","0.2","3.0","0.0","-0.1","771","3"
"Carpet, floor, and tile installers and finishers","=""47-2040""","Summary","6.5","0.1","5.6","7.3","0.1","5.9","0.8","12.2","772","3"
"Carpet installers","=""47-2041""","Line Item","0.1","0.0","0.6","0.1","0.0","0.6","0.0","-13.8","773","4"
"Floor layers, except carpet, wood, and hard tiles","=""47-2042""","Line Item","0.8","0.0","2.4","0.9","0.0","2.5","0.1","12.5","774","4"
"Floor sanders and finishers","=""47-2043""","Line Item","0.1","0.0","1.9","0.1","0.0","1.9","0.0","0.2","775","4"
"Tile and stone setters","=""47-2044""","Line Item","5.5","0.0","9.8","6.2","0.0","10.0","0.7","13.0","776","4"
"Cement masons, concrete finishers, and terrazzo workers","=""47-2050""","Summary","4.4","0.0","2.1","5.4","0.0","2.5","0.9","21.5","777","3"
"Cement masons and concrete finishers","=""47-2051""","Line Item","4.4","0.0","2.1","5.4","0.0","2.6","0.9","21.5","778","4"
"Construction laborers","=""47-2061""","Line Item","16.3","0.1","1.2","16.6","0.1","1.1","0.3","1.9","780","3"
"Construction equipment operators","=""47-2070""","Summary","11.4","0.1","2.2","11.5","0.1","2.1","0.1","1.3","781","3"
"Paving, surfacing, and tamping equipment operators","=""47-2071""","Line Item","1.8","0.0","4.1","1.8","0.0","3.9","0.0","-0.8","782","4"
"Pile driver operators","=""47-2072""","Line Item","0.1","0.0","1.8","0.1","0.0","1.7","0.0","-0.8","783","4"
"Operating engineers and other construction equipment operators","=""47-2073""","Line Item","9.5","0.1","2.0","9.6","0.1","2.0","0.2","1.7","784","4"
"Drywall installers, ceiling tile installers, and tapers","=""47-2080""","Summary","1.2","0.0","0.9","1.2","0.0","0.8","0.0","1.3","785","3"
"Drywall and ceiling tile installers","=""47-2081""","Line Item","1.1","0.0","1.0","1.1","0.0","0.9","0.0","1.3","786","4"
"Tapers","=""47-2082""","Line Item","0.1","0.0","0.3","0.1","0.0","0.3","0.0","2.1","787","4"
"Electricians","=""47-2111""","Line Item","48.0","0.4","6.2","48.6","0.4","5.6","0.6","1.2","788","3"
"Glaziers","=""47-2121""","Line Item","1.7","0.0","3.0","1.8","0.0","3.0","0.1","5.0","789","3"
"Insulation workers, floor, ceiling, and wall","=""47-2131""","Line Item","0.3","0.0","0.8","0.3","0.0","0.9","0.0","4.5","791","4"
"Painters and paperhangers","=""47-2140""","Summary","5.2","0.0","1.5","5.3","0.0","1.5","0.1","1.4","793","3"
"Painters, construction and maintenance","=""47-2141""","Line Item","5.1","0.0","1.5","5.1","0.0","1.5","0.1","1.3","794","4"
"Paperhangers","=""47-2142""","Line Item","0.1","0.0","3.7","0.1","0.0","3.7","0.0","4.1","795","4"
"Pipelayers, plumbers, pipefitters, and steamfitters","=""47-2150""","Summary","15.1","0.1","3.0","15.3","0.1","2.9","0.2","1.3","796","3"
"Pipelayers","=""47-2151""","Line Item","0.1","0.0","0.2","0.1","0.0","0.2","0.0","5.5","797","4"
"Plumbers, pipefitters, and steamfitters","=""47-2152""","Line Item","15.1","0.1","3.2","15.2","0.1","3.1","0.2","1.3","798","4"
"Reinforcing iron and rebar workers","=""47-2171""","Line Item","0.8","0.0","3.8","0.9","0.0","3.9","0.0","5.4","800","3"
"Roofers","=""47-2181""","Line Item","1.4","0.0","0.8","1.4","0.0","0.8","0.0","2.8","801","3"
"Sheet metal workers","=""47-2211""","Line Item","27.5","0.2","22.1","29.1","0.2","22.9","1.6","5.8","802","3"
"Structural iron and steel workers","=""47-2221""","Line Item","5.3","0.0","8.0","5.6","0.0","8.1","0.3","5.8","803","3"
"Solar photovoltaic installers","=""47-2231""","Line Item","0.1","0.0","0.6","0.2","0.0","0.5","0.0","11.7","804","3"
"Helpers, construction trades","=""47-3000""","Summary","2.6","0.0","1.3","2.7","0.0","1.3","0.1","4.0","805","2"
"Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters","=""47-3011""","Line Item","0.3","0.0","1.5","0.3","0.0","2.0","0.1","22.1","806","3"
"Helpers--carpenters","=""47-3012""","Line Item","0.8","0.0","3.7","0.8","0.0","3.7","0.0","-1.8","807","3"
"Helpers--electricians","=""47-3013""","Line Item","0.5","0.0","0.7","0.5","0.0","0.7","0.0","3.7","808","3"
"Helpers--painters, paperhangers, plasterers, and stucco masons","=""47-3014""","Line Item","0.1","0.0","0.8","0.1","0.0","0.8","0.0","4.2","809","3"
"Helpers--pipelayers, plumbers, pipefitters, and steamfitters","=""47-3015""","Line Item","0.2","0.0","0.4","0.2","0.0","0.4","0.0","3.1","810","3"
"Helpers, construction trades, all other","=""47-3019""","Line Item","0.7","0.0","2.7","0.8","0.0","2.6","0.0","4.5","812","3"
"Other construction and related workers","=""47-4000""","Summary","2.6","0.0","0.6","2.7","0.0","0.6","0.1","3.1","813","2"
"Construction and building inspectors","=""47-4011""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","-1.6","814","3"
"Elevator and escalator installers and repairers","=""47-4021""","Line Item","0.5","0.0","1.9","0.5","0.0","1.8","0.0","2.0","815","3"
"Fence erectors","=""47-4031""","Line Item","0.4","0.0","1.6","0.4","0.0","1.6","0.0","4.8","816","3"
"Hazardous materials removal workers","=""47-4041""","Line Item","0.2","0.0","0.4","0.2","0.0","0.5","0.0","4.0","817","3"
"Septic tank servicers and sewer pipe cleaners","=""47-4071""","Line Item","0.1","0.0","0.3","0.1","0.0","0.3","0.0","2.4","820","3"
"Miscellaneous construction and related workers","=""47-4090""","Line Item","1.3","0.0","4.2","1.4","0.0","4.1","0.0","3.6","821","3"
"Extraction workers","=""47-5000""","Summary","4.3","0.0","1.9","4.3","0.0","1.9","0.1","1.8","822","2"
"Derrick, rotary drill, and service unit operators, oil and gas","=""47-5010""","Summary","0.8","0.0","1.1","0.8","0.0","1.0","0.0","0.8","823","3"
"Rotary drill operators, oil and gas","=""47-5012""","Line Item","0.1","0.0","0.9","0.1","0.0","0.9","0.0","1.4","825","4"
"Service unit operators, oil and gas","=""47-5013""","Line Item","0.6","0.0","1.3","0.6","0.0","1.3","0.0","0.6","826","4"
"Surface mining machine operators and earth drillers","=""47-5020""","Summary","1.3","0.0","2.4","1.3","0.0","2.4","0.0","2.6","827","3"
"Excavating and loading machine and dragline operators, surface mining","=""47-5022""","Line Item","1.2","0.0","3.5","1.2","0.0","3.6","0.0","2.4","828","4"
"Earth drillers, except oil and gas","=""47-5023""","Line Item","0.1","0.0","0.4","0.1","0.0","0.5","0.0","5.5","829","4"
"Explosives workers, ordnance handling experts, and blasters","=""47-5032""","Line Item","0.6","0.0","12.0","0.6","0.0","11.7","0.0","-0.7","830","3"
"Underground mining machine operators","=""47-5040""","Summary","0.2","0.0","0.8","0.2","0.0","0.9","0.0","2.8","831","3"
"Continuous mining machine operators","=""47-5041""","Line Item","0.1","0.0","0.9","0.1","0.0","0.9","0.0","2.9","832","4"
"Loading and moving machine operators, underground mining","=""47-5044""","Line Item","0.1","0.0","1.0","0.1","0.0","1.3","0.0","2.7","834","4"
"Rock splitters, quarry","=""47-5051""","Line Item","0.8","0.0","21.9","0.8","0.0","21.8","0.0","2.2","836","3"
"Roustabouts, oil and gas","=""47-5071""","Line Item","0.5","0.0","1.0","0.5","0.0","1.0","0.0","3.0","837","3"
"Extraction workers, all other","=""47-5099""","Line Item","0.1","0.0","1.2","0.1","0.0","1.3","0.0","6.0","839","3"
"Installation, maintenance, and repair occupations","=""49-0000""","Summary","697.1","5.4","10.8","756.9","5.8","11.1","59.7","8.6","840","1"
"Supervisors of installation, maintenance, and repair workers","=""49-1000""","Summary","63.1","0.5","10.4","64.5","0.5","10.3","1.4","2.2","841","2"
"First-line supervisors of mechanics, installers, and repairers","=""49-1011""","Line Item","63.1","0.5","10.4","64.5","0.5","10.3","1.4","2.2","842","3"
"Electrical and electronic equipment mechanics, installers, and repairers","=""49-2000""","Summary","32.1","0.2","6.2","32.9","0.3","6.3","0.8","2.5","843","2"
"Computer, automated teller, and office machine repairers","=""49-2011""","Line Item","1.7","0.0","2.0","1.7","0.0","2.1","0.0","2.4","844","3"
"Radio and telecommunications equipment installers and repairers","=""49-2020""","Summary","0.8","0.0","0.4","0.8","0.0","0.5","0.0","1.6","845","3"
"Radio, cellular, and tower equipment installers and repairers","=""49-2021""","Line Item","0.6","0.0","5.1","0.6","0.0","4.7","0.0","-1.2","846","4"
"Telecommunications equipment installers and repairers, except line installers","=""49-2022""","Line Item","0.1","0.0","0.1","0.2","0.0","0.1","0.0","12.9","847","4"
"Miscellaneous electrical and electronic equipment mechanics, installers, and repairers","=""49-2090""","Summary","29.7","0.2","11.6","30.4","0.2","11.4","0.8","2.5","848","3"
"Avionics technicians","=""49-2091""","Line Item","9.0","0.1","41.0","9.9","0.1","42.1","0.9","10.4","849","4"
"Electric motor, power tool, and related repairers","=""49-2092""","Line Item","2.6","0.0","14.8","2.7","0.0","14.4","0.0","1.9","850","4"
"Electrical and electronics installers and repairers, transportation equipment","=""49-2093""","Line Item","0.5","0.0","6.0","0.5","0.0","5.9","0.0","3.7","851","4"
"Electrical and electronics repairers, commercial and industrial equipment","=""49-2094""","Line Item","15.7","0.1","26.2","15.4","0.1","25.5","-0.2","-1.4","852","4"
"Electrical and electronics repairers, powerhouse, substation, and relay","=""49-2095""","Line Item","0.4","0.0","1.4","0.4","0.0","1.5","0.0","6.4","853","4"
"Electronic equipment installers and repairers, motor vehicles","=""49-2096""","Line Item","1.1","0.0","12.6","1.1","0.0","14.0","0.0","-3.3","854","4"
"Audiovisual equipment installers and repairers","=""49-2097""","Line Item","0.2","0.0","0.8","0.2","0.0","0.7","0.0","-7.4","855","4"
"Security and fire alarm systems installers","=""49-2098""","Line Item","0.2","0.0","0.3","0.2","0.0","0.3","0.0","0.3","856","4"
"Vehicle and mobile equipment mechanics, installers, and repairers","=""49-3000""","Summary","67.4","0.5","3.5","68.9","0.5","3.5","1.5","2.2","857","2"
"Aircraft mechanics and service technicians","=""49-3011""","Line Item","25.7","0.2","18.2","26.4","0.2","17.7","0.6","2.5","858","3"
"Automotive technicians and repairers","=""49-3020""","Summary","10.5","0.1","1.1","10.4","0.1","1.0","-0.1","-1.1","859","3"
"Automotive body and related repairers","=""49-3021""","Line Item","5.0","0.0","3.0","5.3","0.0","3.1","0.3","5.1","860","4"
"Automotive service technicians and mechanics","=""49-3023""","Line Item","5.5","0.0","0.7","5.1","0.0","0.6","-0.4","-6.8","862","4"
"Bus and truck mechanics and diesel engine specialists","=""49-3031""","Line Item","15.2","0.1","5.1","16.1","0.1","5.2","0.9","5.6","863","3"
"Heavy vehicle and mobile equipment service technicians and mechanics","=""49-3040""","Summary","11.0","0.1","4.2","10.9","0.1","3.9","-0.1","-0.8","864","3"
"Farm equipment mechanics and service technicians","=""49-3041""","Line Item","1.0","0.0","2.1","1.0","0.0","1.9","0.0","0.6","865","4"
"Mobile heavy equipment mechanics, except engines","=""49-3042""","Line Item","9.6","0.1","5.0","9.5","0.1","4.6","-0.1","-0.7","866","4"
"Rail car repairers","=""49-3043""","Line Item","0.3","0.0","1.7","0.3","0.0","1.5","0.0","-9.5","867","4"
"Small engine mechanics","=""49-3050""","Summary","2.4","0.0","3.0","2.5","0.0","3.0","0.1","4.0","868","3"
"Motorboat mechanics and service technicians","=""49-3051""","Line Item","2.2","0.0","8.3","2.3","0.0","8.2","0.1","5.4","869","4"
"Motorcycle mechanics","=""49-3052""","Line Item","0.1","0.0","0.7","0.1","0.0","0.6","0.0","-12.8","870","4"
"Outdoor power equipment and other small engine mechanics","=""49-3053""","Line Item","0.2","0.0","0.4","0.2","0.0","0.4","0.0","-1.9","871","4"
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers","=""49-3090""","Summary","2.6","0.0","1.8","2.7","0.0","1.8","0.1","3.0","872","3"
"Recreational vehicle service technicians","=""49-3092""","Line Item","1.1","0.0","5.8","1.1","0.0","5.5","0.0","4.0","874","4"
"Tire repairers and changers","=""49-3093""","Line Item","1.5","0.0","1.4","1.5","0.0","1.4","0.0","2.7","875","4"
"Other installation, maintenance, and repair occupations","=""49-9000""","Summary","534.5","4.1","15.6","590.6","4.5","16.1","56.1","10.5","876","2"
"Control and valve installers and repairers","=""49-9010""","Summary","2.4","0.0","3.1","2.4","0.0","3.0","0.1","2.9","877","3"
"Mechanical door repairers","=""49-9011""","Line Item","0.7","0.0","2.4","0.7","0.0","2.2","0.0","5.0","878","4"
"Control and valve installers and repairers, except mechanical door","=""49-9012""","Line Item","1.7","0.0","3.5","1.7","0.0","3.5","0.0","2.1","879","4"
"Heating, air conditioning, and refrigeration mechanics and installers","=""49-9021""","Line Item","11.3","0.1","2.6","11.9","0.1","2.5","0.5","4.6","880","3"
"Home appliance repairers","=""49-9031""","Line Item","0.3","0.0","0.9","0.3","0.0","0.9","0.0","3.1","881","3"
"Industrial machinery installation, repair, and maintenance workers","=""49-9040""","Summary","277.1","2.1","52.1","325.2","2.5","53.2","48.1","17.4","882","3"
"Industrial machinery mechanics","=""49-9041""","Line Item","228.8","1.8","53.3","273.1","2.1","54.3","44.3","19.4","883","4"
"Maintenance workers, machinery","=""49-9043""","Line Item","33.3","0.3","56.5","36.5","0.3","57.4","3.2","9.6","884","4"
"Millwrights","=""49-9044""","Line Item","14.6","0.1","34.4","15.3","0.1","34.5","0.7","4.8","885","4"
"Refractory materials repairers, except brickmasons","=""49-9045""","Line Item","0.3","0.0","62.1","0.3","0.0","60.6","-0.1","-19.7","886","4"
"Line installers and repairers","=""49-9050""","Summary","0.2","0.0","0.1","0.2","0.0","0.1","0.0","27.0","887","3"
"Telecommunications line installers and repairers","=""49-9052""","Line Item","0.2","0.0","0.2","0.2","0.0","0.2","0.0","28.2","889","4"
"Precision instrument and equipment repairers","=""49-9060""","Summary","4.5","0.0","5.0","4.7","0.0","4.6","0.2","4.7","890","3"
"Camera and photographic equipment repairers","=""49-9061""","Line Item","0.1","0.0","3.6","0.1","0.0","3.6","0.0","-16.6","891","4"
"Medical equipment repairers","=""49-9062""","Line Item","2.3","0.0","3.5","2.5","0.0","3.1","0.1","6.4","892","4"
"Musical instrument repairers and tuners","=""49-9063""","Line Item","0.4","0.0","5.8","0.4","0.0","6.1","0.0","6.3","893","4"
"Precision instrument and equipment repairers, all other","=""49-9069""","Line Item","1.6","0.0","15.2","1.7","0.0","15.1","0.1","3.2","895","4"
"Maintenance and repair workers, general","=""49-9071""","Line Item","200.8","1.6","12.4","206.6","1.6","12.2","5.8","2.9","896","3"
"Wind turbine service technicians","=""49-9081""","Line Item","0.4","0.0","3.2","0.4","0.0","2.0","0.0","0.5","897","3"
"Miscellaneous installation, maintenance, and repair workers","=""49-9090""","Summary","37.6","0.3","9.3","38.9","0.3","9.4","1.3","3.4","898","3"
"Coin, vending, and amusement machine servicers and repairers","=""49-9091""","Line Item","2.2","0.0","5.6","2.7","0.0","6.9","0.5","22.7","899","4"
"Commercial divers","=""49-9092""","Line Item","0.1","0.0","2.1","0.1","0.0","2.0","0.0","5.5","900","4"
"Manufactured building and mobile home installers","=""49-9095""","Line Item","0.7","0.0","20.3","0.5","0.0","19.3","-0.2","-23.7","902","4"
"Riggers","=""49-9096""","Line Item","4.6","0.0","18.8","4.7","0.0","18.7","0.2","4.0","903","4"
"Helpers--installation, maintenance, and repair workers","=""49-9098""","Line Item","6.0","0.0","5.7","6.1","0.0","5.6","0.2","2.6","905","4"
"Installation, maintenance, and repair workers, all other","=""49-9099""","Line Item","24.1","0.2","12.0","24.7","0.2","11.8","0.6","2.5","906","4"
"Production occupations","=""51-0000""","Summary","6,307.2","48.7","69.4","6,208.9","47.6","69.0","-98.4","-1.6","907","1"
"Supervisors of production workers","=""51-1000""","Summary","492.4","3.8","71.3","500.0","3.8","71.9","7.6","1.5","908","2"
"First-line supervisors of production and operating workers","=""51-1011""","Line Item","492.4","3.8","71.3","500.0","3.8","71.9","7.6","1.5","909","3"
"Assemblers and fabricators","=""51-2000""","Summary","1,515.4","11.7","77.1","1,507.3","11.6","76.6","-8.1","-0.5","910","2"
"Aircraft structure, surfaces, rigging, and systems assemblers","=""51-2011""","Line Item","26.7","0.2","85.1","21.9","0.2","83.5","-4.8","-18.0","911","3"
"Electrical, electronics, and electromechanical assemblers","=""51-2020""","Summary","249.7","1.9","88.2","266.3","2.0","88.3","16.6","6.6","912","3"
"Coil winders, tapers, and finishers","=""51-2021""","Line Item","11.0","0.1","90.9","9.9","0.1","90.8","-1.0","-9.3","913","4"
"Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers","=""51-2028""","Line Item","238.8","1.8","88.1","256.4","2.0","88.2","17.6","7.4","914","4"
"Engine and other machine assemblers","=""51-2031""","Line Item","46.2","0.4","94.2","35.9","0.3","93.1","-10.2","-22.2","915","3"
"Structural metal fabricators and fitters","=""51-2041""","Line Item","47.4","0.4","79.9","39.8","0.3","79.1","-7.7","-16.2","916","3"
"Fiberglass laminators and fabricators","=""51-2051""","Line Item","18.8","0.1","90.1","19.7","0.2","90.3","0.9","4.8","917","3"
"Timing device assemblers and adjusters","=""51-2061""","Line Item","0.4","0.0","88.0","0.3","0.0","88.2","-0.1","-16.1","918","3"
"Miscellaneous assemblers and fabricators","=""51-2090""","Line Item","1,126.1","8.7","74.0","1,123.4","8.6","73.5","-2.8","-0.2","919","3"
"Food processing workers","=""51-3000""","Summary","489.7","3.8","55.3","524.0","4.0","56.9","34.2","7.0","920","2"
"Bakers","=""51-3011""","Line Item","76.0","0.6","31.2","82.5","0.6","32.2","6.5","8.5","921","3"
"Butchers and other meat, poultry, and fish processing workers","=""51-3020""","Summary","189.8","1.5","53.8","198.9","1.5","55.6","9.1","4.8","922","3"
"Butchers and meat cutters","=""51-3021""","Line Item","12.1","0.1","8.7","12.9","0.1","9.5","0.9","7.1","923","4"
"Meat, poultry, and fish cutters and trimmers","=""51-3022""","Line Item","110.8","0.9","78.5","118.0","0.9","79.9","7.1","6.4","924","4"
"Slaughterers and meat packers","=""51-3023""","Line Item","66.9","0.5","91.9","68.0","0.5","92.1","1.1","1.7","925","4"
"Miscellaneous food processing workers","=""51-3090""","Summary","223.9","1.7","77.6","242.5","1.9","78.9","18.6","8.3","926","3"
"Food and tobacco roasting, baking, and drying machine operators and tenders","=""51-3091""","Line Item","15.9","0.1","81.2","16.2","0.1","81.0","0.3","2.0","927","4"
"Food batchmakers","=""51-3092""","Line Item","141.9","1.1","82.8","156.5","1.2","83.8","14.6","10.3","928","4"
"Food cooking machine operators and tenders","=""51-3093""","Line Item","23.7","0.2","77.2","24.1","0.2","77.7","0.4","1.8","929","4"
"Food processing workers, all other","=""51-3099""","Line Item","42.4","0.3","63.5","45.7","0.4","65.5","3.2","7.6","930","4"
"Metal workers and plastic workers","=""51-4000""","Summary","1,327.3","10.3","80.1","1,278.4","9.8","79.3","-48.9","-3.7","931","2"
"Forming machine setters, operators, and tenders, metal and plastic","=""51-4020""","Summary","93.1","0.7","94.6","91.2","0.7","94.7","-1.9","-2.0","932","3"
"Extruding and drawing machine setters, operators, and tenders, metal and plastic","=""51-4021""","Line Item","61.1","0.5","95.3","62.4","0.5","95.5","1.3","2.2","933","4"
"Forging machine setters, operators, and tenders, metal and plastic","=""51-4022""","Line Item","8.5","0.1","90.6","7.1","0.1","90.3","-1.4","-16.0","934","4"
"Rolling machine setters, operators, and tenders, metal and plastic","=""51-4023""","Line Item","23.5","0.2","94.0","21.7","0.2","93.9","-1.8","-7.9","935","4"
"Machine tool cutting setters, operators, and tenders, metal and plastic","=""51-4030""","Summary","268.7","2.1","90.4","237.1","1.8","90.0","-31.6","-11.8","936","3"
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic","=""51-4031""","Line Item","161.5","1.2","89.1","142.5","1.1","88.5","-19.0","-11.8","937","4"
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic","=""51-4032""","Line Item","5.0","0.0","85.9","4.0","0.0","85.4","-1.0","-19.7","938","4"
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic","=""51-4033""","Line Item","71.9","0.6","94.3","64.0","0.5","94.0","-7.9","-11.0","939","4"
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic","=""51-4034""","Line Item","19.0","0.1","96.2","16.8","0.1","96.0","-2.2","-11.6","940","4"
"Milling and planing machine setters, operators, and tenders, metal and plastic","=""51-4035""","Line Item","11.2","0.1","79.8","9.7","0.1","79.3","-1.5","-13.4","941","4"
"Machinists","=""51-4041""","Line Item","243.7","1.9","81.8","246.7","1.9","81.4","2.9","1.2","942","3"
"Metal furnace operators, tenders, pourers, and casters","=""51-4050""","Summary","25.0","0.2","92.6","23.9","0.2","93.3","-1.1","-4.5","943","3"
"Metal-refining furnace operators and tenders","=""51-4051""","Line Item","19.7","0.2","92.2","18.9","0.1","92.8","-0.8","-4.2","944","4"
"Pourers and casters, metal","=""51-4052""","Line Item","5.3","0.0","94.4","5.0","0.0","95.2","-0.3","-5.9","945","4"
"Model makers and patternmakers, metal and plastic","=""51-4060""","Summary","4.2","0.0","83.2","3.3","0.0","82.3","-0.9","-20.4","946","3"
"Model makers, metal and plastic","=""51-4061""","Line Item","2.1","0.0","73.2","1.7","0.0","72.4","-0.4","-18.5","947","4"
"Patternmakers, metal and plastic","=""51-4062""","Line Item","2.1","0.0","96.4","1.6","0.0","96.1","-0.5","-22.4","948","4"
"Molders and molding machine setters, operators, and tenders, metal and plastic","=""51-4070""","Summary","153.5","1.2","89.9","147.1","1.1","89.8","-6.4","-4.2","949","3"
"Foundry mold and coremakers","=""51-4071""","Line Item","11.5","0.1","97.6","8.7","0.1","97.4","-2.9","-24.8","950","4"
"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic","=""51-4072""","Line Item","142.0","1.1","89.4","138.4","1.1","89.4","-3.5","-2.5","951","4"
"Multiple machine tool setters, operators, and tenders, metal and plastic","=""51-4081""","Line Item","100.6","0.8","77.4","101.6","0.8","76.8","1.0","1.0","952","3"
"Tool and die makers","=""51-4111""","Line Item","56.2","0.4","95.1","50.3","0.4","94.3","-5.9","-10.4","953","3"
"Welding, soldering, and brazing workers","=""51-4120""","Summary","313.4","2.4","63.9","315.1","2.4","63.5","1.7","0.6","954","3"
"Welders, cutters, solderers, and brazers","=""51-4121""","Line Item","283.8","2.2","62.4","288.4","2.2","62.2","4.6","1.6","955","4"
"Welding, soldering, and brazing machine setters, operators, and tenders","=""51-4122""","Line Item","29.6","0.2","83.1","26.7","0.2","82.3","-2.9","-9.7","956","4"
"Miscellaneous metal workers and plastic workers","=""51-4190""","Summary","69.0","0.5","84.2","62.1","0.5","83.1","-6.9","-10.0","957","3"
"Heat treating equipment setters, operators, and tenders, metal and plastic","=""51-4191""","Line Item","14.0","0.1","92.2","12.6","0.1","91.4","-1.4","-10.3","958","4"
"Layout workers, metal and plastic","=""51-4192""","Line Item","5.2","0.0","75.4","4.9","0.0","73.8","-0.3","-5.5","959","4"
"Plating machine setters, operators, and tenders, metal and plastic","=""51-4193""","Line Item","30.7","0.2","94.8","27.1","0.2","94.0","-3.6","-11.8","960","4"
"Tool grinders, filers, and sharpeners","=""51-4194""","Line Item","4.9","0.0","71.6","4.3","0.0","69.0","-0.5","-11.2","961","4"
"Metal workers and plastic workers, all other","=""51-4199""","Line Item","14.2","0.1","68.8","13.2","0.1","68.8","-1.0","-7.0","962","4"
"Printing workers","=""51-5100""","Summary","163.2","1.3","75.0","137.8","1.1","71.8","-25.4","-15.6","963","2"
"Prepress technicians and workers","=""51-5111""","Line Item","18.2","0.1","78.0","13.9","0.1","73.2","-4.3","-23.5","964","3"
"Printing press operators","=""51-5112""","Line Item","112.5","0.9","72.0","98.1","0.8","69.4","-14.4","-12.8","965","3"
"Print binding and finishing workers","=""51-5113""","Line Item","32.5","0.3","85.2","25.8","0.2","82.0","-6.7","-20.6","966","3"
"Textile, apparel, and furnishings workers","=""51-6000""","Summary","197.0","1.5","37.8","172.7","1.3","34.7","-24.3","-12.3","967","2"
"Laundry and dry-cleaning workers","=""51-6011""","Line Item","0.5","0.0","0.3","0.5","0.0","0.2","0.0","-3.4","968","3"
"Pressers, textile, garment, and related materials","=""51-6021""","Line Item","1.7","0.0","5.8","1.4","0.0","5.4","-0.3","-17.6","969","3"
"Sewing machine operators","=""51-6031""","Line Item","86.3","0.7","67.1","72.6","0.6","64.9","-13.8","-16.0","970","3"
"Shoe and leather workers","=""51-6040""","Summary","10.1","0.1","65.1","9.1","0.1","67.1","-1.0","-9.9","971","3"
"Shoe and leather workers and repairers","=""51-6041""","Line Item","5.4","0.0","57.8","4.9","0.0","59.0","-0.5","-10.0","972","4"
"Shoe machine operators and tenders","=""51-6042""","Line Item","4.6","0.0","76.4","4.2","0.0","79.8","-0.5","-9.8","973","4"
"Tailors, dressmakers, and sewers","=""51-6050""","Summary","3.6","0.0","11.9","2.9","0.0","10.4","-0.7","-19.4","974","3"
"Sewers, hand","=""51-6051""","Line Item","1.9","0.0","34.0","1.5","0.0","31.4","-0.4","-19.0","975","4"
"Tailors, dressmakers, and custom sewers","=""51-6052""","Line Item","1.7","0.0","6.9","1.4","0.0","5.9","-0.3","-19.8","976","4"
"Textile machine setters, operators, and tenders","=""51-6060""","Summary","53.4","0.4","93.3","47.5","0.4","92.7","-5.8","-10.9","977","3"
"Textile bleaching and dyeing machine operators and tenders","=""51-6061""","Line Item","6.6","0.1","96.6","5.9","0.0","96.5","-0.7","-10.4","978","4"
"Textile cutting machine setters, operators, and tenders","=""51-6062""","Line Item","8.0","0.1","81.0","6.8","0.1","78.2","-1.2","-14.8","979","4"
"Textile knitting and weaving machine setters, operators, and tenders","=""51-6063""","Line Item","15.5","0.1","95.0","13.6","0.1","94.5","-1.9","-12.3","980","4"
"Textile winding, twisting, and drawing out machine setters, operators, and tenders","=""51-6064""","Line Item","23.2","0.2","96.2","21.1","0.2","96.1","-2.1","-8.9","981","4"
"Miscellaneous textile, apparel, and furnishings workers","=""51-6090""","Summary","41.3","0.3","64.4","38.7","0.3","63.1","-2.7","-6.5","982","3"
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers","=""51-6091""","Line Item","14.2","0.1","94.0","13.9","0.1","95.0","-0.3","-2.1","983","4"
"Fabric and apparel patternmakers","=""51-6092""","Line Item","1.7","0.0","61.0","1.4","0.0","56.5","-0.3","-18.2","984","4"
"Upholsterers","=""51-6093""","Line Item","15.6","0.1","50.9","15.0","0.1","49.7","-0.7","-4.3","985","4"
"Textile, apparel, and furnishings workers, all other","=""51-6099""","Line Item","9.8","0.1","62.9","8.4","0.1","59.7","-1.4","-14.2","986","4"
"Woodworkers","=""51-7000""","Summary","180.4","1.4","74.9","175.8","1.3","75.2","-4.6","-2.5","987","2"
"Cabinetmakers and bench carpenters","=""51-7011""","Line Item","72.1","0.6","72.3","69.7","0.5","71.9","-2.3","-3.3","988","3"
"Furniture finishers","=""51-7021""","Line Item","9.9","0.1","54.3","9.5","0.1","53.0","-0.4","-3.9","989","3"
"Model makers and patternmakers, wood","=""51-7030""","Summary","0.5","0.0","31.6","0.5","0.0","36.3","0.0","-0.2","990","3"
"Model makers, wood","=""51-7031""","Line Item","0.3","0.0","29.6","0.3","0.0","34.0","0.0","0.2","991","4"
