"Occupation Title","Occupation Code","Occupation Type","2023 Employment","2023 Percent of Industry","2023 Percent of Occupation","Projected 2033 Employment","Projected 2033 Percent of Industry","Projected 2033 Percent of Occupation","Employment Change, 2023-2033","Employment Percent Change, 2023-2033","Occupation Sort","Display Level"
"Pharmacy technicians","=""29-2052""","Line Item","1.6","0.0","0.4","1.7","0.0","0.3","0.1","5.9","478","4"
"Surgical technologists","=""29-2055""","Line Item","0.9","0.0","0.8","1.0","0.0","0.8","0.1","5.7","480","4"
"Veterinary technologists and technicians","=""29-2056""","Line Item","4.2","0.0","3.4","4.4","0.0","3.0","0.2","4.9","481","4"
"Ophthalmic medical technicians","=""29-2057""","Line Item","0.6","0.0","0.9","0.7","0.0","0.8","0.0","3.2","482","4"
"Licensed practical and licensed vocational nurses","=""29-2061""","Line Item","15.5","0.1","2.4","15.7","0.1","2.3","0.2","1.2","483","3"
"Medical records specialists","=""29-2072""","Line Item","3.7","0.0","1.9","3.9","0.0","1.9","0.2","6.7","484","3"
"Opticians, dispensing","=""29-2081""","Line Item","0.2","0.0","0.3","0.3","0.0","0.3","0.0","2.9","485","3"
"Miscellaneous health technologists and technicians","=""29-2090""","Summary","4.9","0.0","2.5","5.0","0.0","2.3","0.1","1.2","486","3"
"Hearing aid specialists","=""29-2092""","Line Item","0.1","0.0","0.6","0.1","0.0","0.6","0.0","5.6","488","4"
"Health technologists and technicians, all other","=""29-2099""","Line Item","4.8","0.0","2.7","4.9","0.0","2.6","0.1","1.1","489","4"
"Other healthcare practitioners and technical occupations","=""29-9000""","Summary","19.5","0.1","13.9","21.2","0.1","13.7","1.7","8.7","490","2"
"Health information technologists and medical registrars","=""29-9021""","Line Item","1.1","0.0","2.7","1.2","0.0","2.6","0.2","14.6","491","3"
"Miscellaneous health practitioners and technical workers","=""29-9090""","Summary","18.5","0.1","18.3","20.0","0.1","18.2","1.5","8.4","492","3"
"Athletic trainers","=""29-9091""","Line Item","13.7","0.1","39.8","15.1","0.1","39.1","1.4","10.6","493","4"
"Genetic counselors","=""29-9092""","Line Item","0.3","0.0","7.5","0.3","0.0","7.3","0.0","12.9","494","4"
"Surgical assistants","=""29-9093""","Line Item","0.1","0.0","0.3","0.1","0.0","0.3","0.0","9.8","495","4"
"Healthcare practitioners and technical workers, all other","=""29-9099""","Line Item","4.5","0.0","10.7","4.5","0.0","10.2","0.1","1.4","496","4"
"Healthcare support occupations","=""31-0000""","Summary","61.2","0.4","0.8","62.5","0.4","0.7","1.3","2.1","497","1"
"Home health and personal care aides; and nursing assistants, orderlies, and psychiatric aides","=""31-1100""","Summary","21.0","0.1","0.4","21.3","0.1","0.3","0.3","1.6","498","2"
"Home health and personal care aides","=""31-1120""","Line Item","7.2","0.1","0.2","7.3","0.1","0.2","0.0","0.6","499","3"
"Nursing assistants, orderlies, and psychiatric aides","=""31-1130""","Summary","13.8","0.1","0.9","14.0","0.1","0.9","0.3","2.0","500","3"
"Nursing assistants","=""31-1131""","Line Item","12.9","0.1","0.9","13.2","0.1","0.9","0.2","1.8","501","4"
"Orderlies","=""31-1132""","Line Item","0.8","0.0","1.6","0.8","0.0","1.6","0.0","5.9","502","4"
"Occupational therapy and physical therapist assistants and aides","=""31-2000""","Summary","4.4","0.0","2.2","4.5","0.0","1.8","0.1","1.5","504","2"
"Occupational therapy assistants and aides","=""31-2010""","Summary","3.5","0.0","6.7","3.5","0.0","5.6","0.1","1.5","505","3"
"Occupational therapy assistants","=""31-2011""","Line Item","3.3","0.0","6.9","3.3","0.0","5.8","0.1","1.8","506","4"
"Occupational therapy aides","=""31-2012""","Line Item","0.2","0.0","4.0","0.2","0.0","3.6","0.0","-5.3","507","4"
"Physical therapist assistants and aides","=""31-2020""","Summary","1.0","0.0","0.6","1.0","0.0","0.5","0.0","1.6","508","3"
"Physical therapist assistants","=""31-2021""","Line Item","0.9","0.0","0.8","0.9","0.0","0.7","0.0","2.6","509","4"
"Physical therapist aides","=""31-2022""","Line Item","0.1","0.0","0.2","0.1","0.0","0.2","0.0","-8.4","510","4"
"Other healthcare support occupations","=""31-9000""","Summary","35.8","0.2","1.9","36.7","0.3","1.8","0.9","2.5","511","2"
"Massage therapists","=""31-9011""","Line Item","0.5","0.0","0.3","0.5","0.0","0.3","0.0","2.8","512","3"
"Miscellaneous healthcare support occupations","=""31-9090""","Summary","35.4","0.2","2.1","36.2","0.3","1.9","0.9","2.5","513","3"
"Dental assistants","=""31-9091""","Line Item","3.4","0.0","0.9","3.5","0.0","0.9","0.1","3.7","514","4"
"Medical assistants","=""31-9092""","Line Item","11.3","0.1","1.4","11.7","0.1","1.3","0.4","3.6","515","4"
"Medical equipment preparers","=""31-9093""","Line Item","1.1","0.0","1.6","1.2","0.0","1.6","0.1","5.2","516","4"
"Medical transcriptionists","=""31-9094""","Line Item","0.3","0.0","0.5","0.3","0.0","0.5","0.0","5.1","517","4"
"Pharmacy aides","=""31-9095""","Line Item","0.1","0.0","0.2","0.1","0.0","0.2","0.0","4.3","518","4"
"Veterinary assistants and laboratory animal caretakers","=""31-9096""","Line Item","5.0","0.0","4.2","5.1","0.0","3.6","0.2","3.7","519","4"
"Phlebotomists","=""31-9097""","Line Item","0.7","0.0","0.5","0.7","0.0","0.5","0.0","4.6","520","4"
"Healthcare support workers, all other","=""31-9099""","Line Item","13.6","0.1","12.5","13.6","0.1","11.9","0.1","0.4","521","4"
"Protective service occupations","=""33-0000""","Summary","202.2","1.4","5.6","193.8","1.3","5.2","-8.4","-4.1","522","1"
"Supervisors of protective service workers","=""33-1000""","Summary","10.6","0.1","2.8","10.7","0.1","2.8","0.0","0.2","523","2"
"First-line supervisors of law enforcement workers","=""33-1010""","Summary","5.3","0.0","2.7","5.5","0.0","2.7","0.2","3.1","524","3"
"First-line supervisors of police and detectives","=""33-1012""","Line Item","5.3","0.0","3.7","5.5","0.0","3.6","0.2","3.1","526","4"
"First-line supervisors of firefighting and prevention workers","=""33-1021""","Line Item","0.1","0.0","0.2","0.1","0.0","0.2","0.0","3.9","527","3"
"Miscellaneous first-line supervisors, protective service workers","=""33-1090""","Summary","5.2","0.0","5.9","5.0","0.0","5.5","-0.1","-2.8","528","3"
"First-line supervisors of security workers","=""33-1091""","Line Item","4.4","0.0","6.6","4.3","0.0","6.1","-0.1","-3.4","529","4"
"First-line supervisors of protective service workers, all other","=""33-1099""","Line Item","0.7","0.0","3.6","0.8","0.0","3.5","0.0","0.7","530","4"
"Firefighting and prevention workers","=""33-2000""","Summary","0.7","0.0","0.2","0.7","0.0","0.2","0.0","3.9","531","2"
"Firefighters","=""33-2011""","Line Item","0.4","0.0","0.1","0.4","0.0","0.1","0.0","3.0","532","3"
"Fire inspectors","=""33-2020""","Summary","0.3","0.0","1.8","0.3","0.0","1.8","0.0","5.1","533","3"
"Fire inspectors and investigators","=""33-2021""","Line Item","0.3","0.0","1.9","0.3","0.0","1.8","0.0","3.5","534","4"
"Law enforcement workers","=""33-3000""","Summary","32.4","0.2","2.7","33.2","0.2","2.8","0.8","2.4","536","2"
"Detectives and criminal investigators","=""33-3021""","Line Item","0.4","0.0","0.3","0.4","0.0","0.4","0.0","4.0","540","3"
"Parking enforcement workers","=""33-3041""","Line Item","1.1","0.0","14.0","1.1","0.0","14.0","0.0","-0.5","542","3"
"Police officers","=""33-3050""","Summary","30.9","0.2","4.6","31.7","0.2","4.5","0.8","2.5","543","3"
"Police and sheriff's patrol officers","=""33-3051""","Line Item","30.9","0.2","4.6","31.7","0.2","4.5","0.8","2.5","544","4"
"Other protective service workers","=""33-9000""","Summary","158.5","1.1","9.2","149.3","1.0","8.5","-9.2","-5.8","546","2"
"Private detectives and investigators","=""33-9021""","Line Item","0.4","0.0","1.0","0.4","0.0","1.0","0.0","1.8","548","3"
"Security guards and gambling surveillance officers","=""33-9030""","Summary","75.7","0.5","6.1","70.0","0.5","5.5","-5.7","-7.5","549","3"
"Security guards","=""33-9032""","Line Item","75.7","0.5","6.2","70.0","0.5","5.6","-5.7","-7.5","551","4"
"Miscellaneous protective service workers","=""33-9090""","Summary","82.4","0.6","19.3","78.8","0.5","17.8","-3.5","-4.3","552","3"
"Crossing guards and flaggers","=""33-9091""","Line Item","8.9","0.1","9.6","8.8","0.1","9.1","-0.1","-0.9","553","4"
"Lifeguards, ski patrol, and other recreational protective service workers","=""33-9092""","Line Item","6.6","0.0","5.1","6.7","0.0","4.9","0.1","1.5","554","4"
"School bus monitors","=""33-9094""","Line Item","32.8","0.2","46.8","29.5","0.2","43.1","-3.3","-10.1","556","4"
"Protective service workers, all other","=""33-9099""","Line Item","34.0","0.2","40.7","33.8","0.2","39.1","-0.2","-0.7","557","4"
"Food preparation and serving related occupations","=""35-0000""","Summary","369.8","2.6","2.7","359.5","2.5","2.5","-10.3","-2.8","558","1"
"Supervisors of food preparation and serving workers","=""35-1000""","Summary","46.3","0.3","3.3","44.6","0.3","3.0","-1.7","-3.6","559","2"
"Chefs and head cooks","=""35-1011""","Line Item","6.0","0.0","3.2","6.1","0.0","3.0","0.1","0.9","560","3"
"First-line supervisors of food preparation and serving workers","=""35-1012""","Line Item","40.3","0.3","3.3","38.6","0.3","3.0","-1.7","-4.3","561","3"
"Cooks and food preparation workers","=""35-2000""","Summary","183.1","1.3","5.0","175.1","1.2","4.6","-8.1","-4.4","562","2"
"Cooks","=""35-2010""","Summary","150.3","1.0","5.4","149.5","1.0","5.1","-0.7","-0.5","563","3"
"Cooks, fast food","=""35-2011""","Line Item","0.3","0.0","0.0","0.3","0.0","0.1","0.0","-0.1","564","4"
"Cooks, institution and cafeteria","=""35-2012""","Line Item","149.3","1.0","32.7","148.5","1.0","31.5","-0.8","-0.5","565","4"
"Cooks, restaurant","=""35-2014""","Line Item","0.3","0.0","0.0","0.3","0.0","0.0","0.0","7.4","567","4"
"Cooks, short order","=""35-2015""","Line Item","0.3","0.0","0.2","0.3","0.0","0.2","0.0","1.6","568","4"
"Cooks, all other","=""35-2019""","Line Item","0.1","0.0","0.7","0.1","0.0","0.7","0.0","2.1","569","4"
"Food preparation workers","=""35-2021""","Line Item","32.9","0.2","3.6","25.5","0.2","2.9","-7.3","-22.3","570","3"
"Food and beverage serving workers","=""35-3000""","Summary","102.4","0.7","1.5","102.0","0.7","1.4","-0.4","-0.4","571","2"
"Fast food and counter workers","=""35-3023""","Line Item","97.2","0.7","2.6","96.7","0.7","2.5","-0.5","-0.5","573","3"
"Waiters and waitresses","=""35-3031""","Line Item","1.1","0.0","0.0","1.1","0.0","0.0","0.0","1.6","574","3"
"Food servers, nonrestaurant","=""35-3041""","Line Item","3.7","0.0","1.3","3.7","0.0","1.3","0.0","0.1","575","3"
"Other food preparation and serving related workers","=""35-9000""","Summary","37.9","0.3","2.5","37.8","0.3","2.4","-0.1","-0.2","576","2"
"Dining room and cafeteria attendants and bartender helpers","=""35-9011""","Line Item","31.1","0.2","6.3","30.9","0.2","5.8","-0.1","-0.3","577","3"
"Dishwashers","=""35-9021""","Line Item","2.4","0.0","0.5","2.4","0.0","0.5","0.0","1.3","578","3"
"Hosts and hostesses, restaurant, lounge, and coffee shop","=""35-9031""","Line Item","0.1","0.0","0.0","0.1","0.0","0.0","0.0","3.3","579","3"
"Food preparation and serving related workers, all other","=""35-9099""","Line Item","4.4","0.0","5.0","4.4","0.0","4.6","0.0","-0.4","580","3"
"Building and grounds cleaning and maintenance occupations","=""37-0000""","Summary","486.4","3.4","8.6","488.3","3.4","8.4","1.9","0.4","581","1"
"Supervisors of building and grounds cleaning and maintenance workers","=""37-1000""","Summary","27.5","0.2","5.9","27.7","0.2","5.8","0.2","0.8","582","2"
"First-line supervisors of housekeeping and janitorial workers","=""37-1011""","Line Item","24.1","0.2","10.0","24.2","0.2","9.6","0.1","0.6","583","3"
"First-line supervisors of landscaping, lawn service, and groundskeeping workers","=""37-1012""","Line Item","3.5","0.0","1.6","3.5","0.0","1.5","0.1","2.4","584","3"
"Building cleaning and pest control workers","=""37-2000""","Summary","423.4","2.9","10.9","424.5","2.9","10.7","1.0","0.2","585","2"
"Building cleaning workers","=""37-2010""","Summary","423.1","2.9","11.2","424.1","2.9","11.0","1.0","0.2","586","3"
"Janitors and cleaners, except maids and housekeeping cleaners","=""37-2011""","Line Item","416.4","2.9","17.1","417.3","2.9","16.6","0.9","0.2","587","4"
"Maids and housekeeping cleaners","=""37-2012""","Line Item","6.6","0.0","0.5","6.8","0.0","0.5","0.1","1.8","588","4"
"Pest control workers","=""37-2021""","Line Item","0.3","0.0","0.3","0.3","0.0","0.3","0.0","1.6","590","3"
"Grounds maintenance workers","=""37-3000""","Summary","35.5","0.2","2.7","36.1","0.2","2.6","0.6","1.7","591","2"
"Landscaping and groundskeeping workers","=""37-3011""","Line Item","34.7","0.2","2.9","35.3","0.2","2.8","0.6","1.7","592","3"
"Pesticide handlers, sprayers, and applicators, vegetation","=""37-3012""","Line Item","0.1","0.0","0.5","0.1","0.0","0.5","0.0","1.7","593","3"
"Tree trimmers and pruners","=""37-3013""","Line Item","0.2","0.0","0.2","0.2","0.0","0.2","0.0","4.0","594","3"
"Grounds maintenance workers, all other","=""37-3019""","Line Item","0.4","0.0","3.0","0.4","0.0","2.9","0.0","1.1","595","3"
"Personal care and service occupations","=""39-0000""","Summary","227.0","1.6","5.2","231.3","1.6","5.0","4.2","1.9","596","1"
"Supervisors of personal care and service workers","=""39-1000""","Summary","12.0","0.1","3.8","12.2","0.1","3.6","0.2","1.8","597","2"
"First-line supervisors of entertainment and recreation workers","=""39-1010""","Summary","4.2","0.0","2.7","4.3","0.0","2.5","0.1","2.9","598","3"
"First-line supervisors of entertainment and recreation workers, except gambling services","=""39-1014""","Line Item","4.2","0.0","3.4","4.3","0.0","3.2","0.1","2.9","600","4"
"First-line supervisors of personal service workers","=""39-1022""","Line Item","7.8","0.1","5.0","7.9","0.1","4.6","0.1","1.2","601","3"
"Animal care and service workers","=""39-2000""","Summary","3.3","0.0","0.8","3.5","0.0","0.7","0.1","3.5","602","2"
"Animal trainers","=""39-2011""","Line Item","0.3","0.0","0.5","0.3","0.0","0.5","0.0","3.4","603","3"
"Animal caretakers","=""39-2021""","Line Item","3.1","0.0","0.8","3.2","0.0","0.7","0.1","3.5","604","3"
"Entertainment attendants and related workers","=""39-3000""","Summary","20.2","0.1","3.1","20.8","0.1","3.1","0.6","3.0","605","2"
"Ushers, lobby attendants, and ticket takers","=""39-3031""","Line Item","4.5","0.0","3.8","4.7","0.0","3.8","0.2","3.7","611","3"
"Miscellaneous entertainment attendants and related workers","=""39-3090""","Summary","15.6","0.1","3.8","16.0","0.1","3.7","0.4","2.8","612","3"
"Amusement and recreation attendants","=""39-3091""","Line Item","12.6","0.1","3.3","13.0","0.1","3.3","0.4","3.1","613","4"
"Costume attendants","=""39-3092""","Line Item","0.7","0.0","10.9","0.7","0.0","10.4","0.0","2.5","614","4"
"Locker room, coatroom, and dressing room attendants","=""39-3093""","Line Item","1.2","0.0","7.7","1.2","0.0","7.2","0.0","0.7","615","4"
"Entertainment attendants and related workers, all other","=""39-3099""","Line Item","1.1","0.0","13.4","1.1","0.0","12.9","0.0","1.0","616","4"
"Funeral service workers","=""39-4000""","Summary","0.1","0.0","0.2","0.1","0.0","0.2","0.0","3.5","617","2"
"Embalmers and crematory operators","=""39-4010""","Summary","0.1","0.0","1.1","0.1","0.0","1.1","0.0","5.0","618","3"
"Embalmers","=""39-4011""","Line Item","0.1","0.0","1.7","0.1","0.0","1.7","0.0","4.9","619","4"
"Morticians, undertakers, and funeral arrangers","=""39-4031""","Line Item","0.1","0.0","0.2","0.1","0.0","0.2","0.0","1.4","622","3"
"Personal appearance workers","=""39-5000""","Summary","0.7","0.0","0.1","0.7","0.0","0.1","0.0","1.8","623","2"
"Barbers, hairdressers, hairstylists and cosmetologists","=""39-5010""","Summary","0.5","0.0","0.1","0.5","0.0","0.1","0.0","1.9","624","3"
"Barbers","=""39-5011""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","1.9","625","4"
"Hairdressers, hairstylists, and cosmetologists","=""39-5012""","Line Item","0.4","0.0","0.1","0.4","0.0","0.1","0.0","1.9","626","4"
"Miscellaneous personal appearance workers","=""39-5090""","Summary","0.2","0.0","0.1","0.2","0.0","0.1","0.0","1.7","627","3"
"Makeup artists, theatrical and performance","=""39-5091""","Line Item","0.1","0.0","1.2","0.1","0.0","1.1","0.0","1.1","628","4"
"Skincare specialists","=""39-5094""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","2.2","631","4"
"Baggage porters, bellhops, and concierges","=""39-6000""","Summary","0.1","0.0","0.1","0.1","0.0","0.1","0.0","2.5","632","2"
"Concierges","=""39-6012""","Line Item","0.1","0.0","0.2","0.1","0.0","0.1","0.0","1.4","634","3"
"Tour and travel guides","=""39-7000""","Summary","1.8","0.0","3.2","1.9","0.0","3.0","0.0","2.5","635","2"
"Tour and travel guides","=""39-7010""","Line Item","1.8","0.0","3.2","1.9","0.0","3.0","0.0","2.5","636","3"
"Other personal care and service workers","=""39-9000""","Summary","188.7","1.3","10.4","192.0","1.3","10.2","3.2","1.7","637","2"
"Childcare workers","=""39-9011""","Line Item","112.3","0.8","11.6","112.1","0.8","11.7","-0.2","-0.2","638","3"
"Recreation and fitness workers","=""39-9030""","Summary","57.6","0.4","8.9","60.6","0.4","8.5","2.9","5.1","639","3"
"Exercise trainers and group fitness instructors","=""39-9031""","Line Item","30.5","0.2","8.7","32.7","0.2","8.2","2.2","7.2","640","4"
"Recreation workers","=""39-9032""","Line Item","27.1","0.2","9.0","27.9","0.2","8.8","0.7","2.7","641","4"
"Residential advisors","=""39-9041""","Line Item","17.8","0.1","18.6","18.3","0.1","18.2","0.5","2.7","642","3"
"Personal care and service workers, all other","=""39-9099""","Line Item","1.0","0.0","1.1","1.0","0.0","1.0","0.0","1.3","643","3"
"Sales and related occupations","=""41-0000""","Summary","38.6","0.3","0.3","37.4","0.3","0.3","-1.2","-3.2","644","1"
"Supervisors of sales workers","=""41-1000""","Summary","3.2","0.0","0.2","3.3","0.0","0.2","0.1","2.9","645","2"
"First-line supervisors of retail sales workers","=""41-1011""","Line Item","2.5","0.0","0.2","2.5","0.0","0.2","0.1","2.8","646","3"
"First-line supervisors of non-retail sales workers","=""41-1012""","Line Item","0.7","0.0","0.2","0.7","0.0","0.2","0.0","3.2","647","3"
"Retail sales workers","=""41-2000""","Summary","16.2","0.1","0.2","15.0","0.1","0.2","-1.3","-7.9","648","2"
"Cashiers","=""41-2010""","Summary","10.6","0.1","0.3","9.2","0.1","0.3","-1.4","-13.5","649","3"
"Cashiers","=""41-2011""","Line Item","10.6","0.1","0.3","9.2","0.1","0.3","-1.4","-13.5","650","4"
"Counter and rental clerks and parts salespersons","=""41-2020""","Summary","0.6","0.0","0.1","0.6","0.0","0.1","0.0","2.9","652","3"
"Counter and rental clerks","=""41-2021""","Line Item","0.6","0.0","0.1","0.6","0.0","0.1","0.0","2.9","653","4"
"Retail salespersons","=""41-2031""","Line Item","5.1","0.0","0.1","5.2","0.0","0.1","0.1","2.5","655","3"
"Sales representatives, services","=""41-3000""","Summary","16.1","0.1","0.7","16.1","0.1","0.6","0.0","0.1","656","2"
"Advertising sales agents","=""41-3011""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","-6.9","657","3"
"Sales representatives of services, except advertising, insurance, financial services, and travel","=""41-3091""","Line Item","15.9","0.1","1.4","15.9","0.1","1.3","0.0","0.1","661","3"
"Sales representatives, wholesale and manufacturing","=""41-4000""","Summary","0.9","0.0","0.1","0.9","0.0","0.1","0.0","0.1","662","2"
"Sales representatives, wholesale and manufacturing, technical and scientific products","=""41-4011""","Line Item","0.1","0.0","0.0","0.1","0.0","0.0","0.0","-2.2","663","3"
"Sales representatives, wholesale and manufacturing, except technical and scientific products","=""41-4012""","Line Item","0.8","0.0","0.1","0.8","0.0","0.1","0.0","0.4","664","3"
"Other sales and related workers","=""41-9000""","Summary","2.2","0.0","0.2","2.2","0.0","0.2","0.0","-1.5","665","2"
"Demonstrators and product promoters","=""41-9011""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","5.1","667","4"
"Models","=""41-9012""","Line Item","1.1","0.0","31.2","1.1","0.0","32.0","0.0","2.0","668","4"
"Real estate brokers and sales agents","=""41-9020""","Summary","0.1","0.0","0.0","0.1","0.0","0.0","0.0","3.3","669","3"
"Real estate sales agents","=""41-9022""","Line Item","0.1","0.0","0.0","0.1","0.0","0.0","0.0","3.2","671","4"
"Telemarketers","=""41-9041""","Line Item","0.4","0.0","0.5","0.3","0.0","0.5","-0.1","-18.1","673","3"
"Miscellaneous sales and related workers","=""41-9090""","Summary","0.5","0.0","0.3","0.5","0.0","0.3","0.0","3.1","674","3"
"Sales and related workers, all other","=""41-9099""","Line Item","0.5","0.0","0.3","0.5","0.0","0.3","0.0","3.1","676","4"
"Office and administrative support occupations","=""43-0000""","Summary","1,264.0","8.8","6.4","1,176.7","8.1","6.2","-87.4","-6.9","677","1"
"Supervisors of office and administrative support workers","=""43-1000""","Summary","87.5","0.6","5.6","80.4","0.6","5.4","-7.1","-8.1","678","2"
"First-line supervisors of office and administrative support workers","=""43-1011""","Line Item","87.5","0.6","5.6","80.4","0.6","5.4","-7.1","-8.1","679","3"
"Communications equipment operators","=""43-2000""","Summary","1.1","0.0","2.1","0.8","0.0","2.0","-0.3","-27.9","680","2"
"Switchboard operators, including answering service","=""43-2011""","Line Item","1.0","0.0","2.1","0.7","0.0","2.1","-0.3","-28.4","681","3"
"Telephone operators","=""43-2021""","Line Item","0.1","0.0","2.0","0.1","0.0","2.0","0.0","-27.9","682","3"
"Financial clerks","=""43-3000""","Summary","99.3","0.7","3.4","89.5","0.6","3.2","-9.9","-9.9","684","2"
"Bill and account collectors","=""43-3011""","Line Item","1.6","0.0","0.8","1.5","0.0","0.8","-0.1","-7.7","685","3"
"Billing and posting clerks","=""43-3021""","Line Item","6.7","0.0","1.5","6.2","0.0","1.4","-0.5","-7.4","686","3"
"Bookkeeping, accounting, and auditing clerks","=""43-3031""","Line Item","74.1","0.5","4.5","67.5","0.5","4.3","-6.5","-8.8","687","3"
"Payroll and timekeeping clerks","=""43-3051""","Line Item","13.0","0.1","8.1","10.5","0.1","7.7","-2.5","-19.5","689","3"
"Procurement clerks","=""43-3061""","Line Item","2.4","0.0","3.8","2.2","0.0","3.7","-0.2","-8.1","690","3"
"Tellers","=""43-3071""","Line Item","0.1","0.0","0.0","0.1","0.0","0.0","0.0","4.1","691","3"
"Financial clerks, all other","=""43-3099""","Line Item","1.4","0.0","3.1","1.5","0.0","3.1","0.0","2.4","692","3"
"Information and record clerks","=""43-4000""","Summary","168.8","1.2","2.9","158.5","1.1","2.8","-10.3","-6.1","693","2"
"Correspondence clerks","=""43-4021""","Line Item","0.1","0.0","1.0","0.0","0.0","1.0","0.0","-8.0","695","3"
"Credit authorizers, checkers, and clerks","=""43-4041""","Line Item","0.1","0.0","0.6","0.1","0.0","0.6","0.0","-8.3","697","3"
"Customer service representatives","=""43-4051""","Line Item","36.6","0.3","1.2","34.0","0.2","1.2","-2.6","-7.2","698","3"
"Eligibility interviewers, government programs","=""43-4061""","Line Item","0.8","0.0","0.5","0.8","0.0","0.5","0.0","2.5","699","3"
"File clerks","=""43-4071""","Line Item","7.4","0.1","8.5","6.0","0.0","8.2","-1.4","-18.6","700","3"
"Hotel, motel, and resort desk clerks","=""43-4081""","Line Item","0.4","0.0","0.1","0.4","0.0","0.1","0.0","2.7","701","3"
"Interviewers, except eligibility and loan","=""43-4111""","Line Item","17.5","0.1","10.4","16.2","0.1","10.6","-1.3","-7.7","702","3"
"Library assistants, clerical","=""43-4121""","Line Item","23.1","0.2","26.3","21.1","0.1","25.5","-2.0","-8.7","703","3"
"Loan interviewers and clerks","=""43-4131""","Line Item","0.7","0.0","0.3","0.7","0.0","0.3","0.0","1.6","704","3"
"Order clerks","=""43-4151""","Line Item","0.2","0.0","0.2","0.2","0.0","0.2","0.0","-17.8","706","3"
"Human resources assistants, except payroll and timekeeping","=""43-4161""","Line Item","9.0","0.1","8.6","8.3","0.1","8.3","-0.7","-8.3","707","3"
"Receptionists and information clerks","=""43-4171""","Line Item","37.5","0.3","3.6","34.9","0.2","3.3","-2.6","-6.8","708","3"
"Information and record clerks, all other","=""43-4199""","Line Item","34.6","0.2","21.3","35.1","0.2","20.9","0.5","1.4","710","3"
"Material recording, scheduling, dispatching, and distributing workers","=""43-5000""","Summary","24.3","0.2","1.0","24.0","0.2","1.0","-0.3","-1.2","711","2"
"Couriers and messengers","=""43-5021""","Line Item","1.3","0.0","0.6","1.4","0.0","0.6","0.0","0.8","713","3"
"Dispatchers","=""43-5030""","Summary","8.4","0.1","2.6","8.3","0.1","2.6","-0.1","-0.7","714","3"
"Public safety telecommunicators","=""43-5031""","Line Item","4.1","0.0","4.0","4.3","0.0","4.0","0.1","3.2","715","4"
"Dispatchers, except police, fire, and ambulance","=""43-5032""","Line Item","4.2","0.0","2.0","4.0","0.0","1.9","-0.2","-4.5","716","4"
"Production, planning, and expediting clerks","=""43-5061""","Line Item","8.8","0.1","2.2","9.0","0.1","2.1","0.2","2.4","722","3"
"Shipping, receiving, and inventory clerks","=""43-5071""","Line Item","5.7","0.0","0.7","5.3","0.0","0.7","-0.4","-7.8","723","3"
"Weighers, measurers, checkers, and samplers, recordkeeping","=""43-5111""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","-9.2","724","3"
"Secretaries and administrative assistants","=""43-6000""","Summary","479.3","3.3","14.0","461.5","3.2","13.4","-17.8","-3.7","725","2"
"Executive secretaries and executive administrative assistants","=""43-6011""","Line Item","81.2","0.6","15.7","78.9","0.5","15.3","-2.3","-2.8","726","3"
"Legal secretaries and administrative assistants","=""43-6012""","Line Item","0.4","0.0","0.3","0.4","0.0","0.2","0.0","-8.2","727","3"
"Medical secretaries and administrative assistants","=""43-6013""","Line Item","10.3","0.1","1.3","10.4","0.1","1.3","0.2","1.6","728","3"
"Secretaries and administrative assistants, except legal, medical, and executive","=""43-6014""","Line Item","387.5","2.7","19.5","371.8","2.6","18.8","-15.7","-4.0","729","3"
"Other office and administrative support workers","=""43-9000""","Summary","403.6","2.8","11.7","361.9","2.5","11.3","-41.7","-10.3","730","2"
"Data entry and information processing workers","=""43-9020""","Summary","22.4","0.2","11.0","14.4","0.1","9.8","-8.0","-35.6","731","3"
"Data entry keyers","=""43-9021""","Line Item","9.6","0.1","5.9","6.8","0.0","5.5","-2.9","-29.6","732","4"
"Word processors and typists","=""43-9022""","Line Item","12.7","0.1","31.8","7.6","0.1","30.7","-5.1","-40.1","733","4"
"Desktop publishers","=""43-9031""","Line Item","0.3","0.0","4.6","0.3","0.0","4.6","0.0","-13.4","734","3"
"Mail clerks and mail machine operators, except postal service","=""43-9051""","Line Item","5.8","0.0","8.3","5.4","0.0","8.1","-0.5","-7.8","736","3"
"Office clerks, general","=""43-9061""","Line Item","311.5","2.2","11.8","283.8","2.0","11.4","-27.7","-8.9","737","3"
"Office machine operators, except computer","=""43-9071""","Line Item","2.1","0.0","7.2","1.7","0.0","6.9","-0.4","-18.8","738","3"
"Proofreaders and copy markers","=""43-9081""","Line Item","0.3","0.0","4.0","0.3","0.0","4.2","0.0","3.1","739","3"
"Statistical assistants","=""43-9111""","Line Item","1.5","0.0","18.6","1.4","0.0","17.9","-0.1","-3.8","740","3"
"Office and administrative support workers, all other","=""43-9199""","Line Item","59.3","0.4","28.7","54.1","0.4","28.4","-5.2","-8.7","741","3"
"Farming, fishing, and forestry occupations","=""45-0000""","Summary","3.0","0.0","0.3","3.0","0.0","0.3","0.0","0.5","742","1"
