Occupation Title;Occupation Code;Occupation Type;2023 Employment;2023 Percent of Industry;2023 Percent of Occupation;Projected 2033 Employment;Projected 2033 Percent of Industry;Projected 2033 Percent of Occupation;Employment Change, 2023-2033;Employment Percent Change, 2023-2033;Occupation Sort;Display Level;source_file;Industry Title;Industry Code;Industry Type;Industry Sort
Atmospheric and space scientists;"=""19-2021""";Line Item;0.2;0.0;1.9;0.2;0.0;1.9;0.0;5.4;188.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Chemists and materials scientists;"=""19-2030""";Summary;9.4;0.6;9.8;9.9;0.6;9.6;0.5;5.3;189.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Chemists;"=""19-2031""";Line Item;8.9;0.5;10.2;9.3;0.5;9.9;0.5;5.3;190.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Materials scientists;"=""19-2032""";Line Item;0.6;0.0;6.1;0.6;0.0;5.9;0.0;5.3;191.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Environmental scientists and geoscientists;"=""19-2040""";Summary;21.3;1.3;18.2;22.6;1.3;18.1;1.3;6.1;192.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Environmental scientists and specialists, including health;"=""19-2041""";Line Item;11.6;0.7;13.8;12.4;0.7;13.7;0.8;6.5;193.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Geoscientists, except hydrologists and geographers;"=""19-2042""";Line Item;8.6;0.5;33.2;9.1;0.5;33.3;0.5;5.6;194.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Hydrologists;"=""19-2043""";Line Item;1.0;0.1;15.2;1.0;0.1;15.6;0.1;5.5;195.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Physical scientists, all other;"=""19-2099""";Line Item;0.7;0.0;2.1;0.8;0.0;2.2;0.0;5.5;196.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Social scientists and related workers;"=""19-3000""";Summary;5.6;0.3;1.6;5.8;0.3;1.6;0.3;4.8;197.0;2;National_Employment_Matrix_IND_541300.csv;;;;
Economists;"=""19-3011""";Line Item;0.3;0.0;1.6;0.3;0.0;1.6;0.0;5.5;198.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Survey researchers;"=""19-3022""";Line Item;0.1;0.0;0.5;0.0;0.0;0.5;0.0;-5.0;199.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Urban and regional planners;"=""19-3051""";Line Item;4.0;0.2;8.9;4.2;0.2;9.0;0.2;4.7;206.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Miscellaneous social scientists and related workers;"=""19-3090""";Summary;1.2;0.1;2.0;1.2;0.1;2.0;0.1;5.3;207.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Anthropologists and archeologists;"=""19-3091""";Line Item;0.6;0.0;7.3;0.7;0.0;7.2;0.0;5.3;208.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Historians;"=""19-3093""";Line Item;0.1;0.0;2.1;0.1;0.0;2.1;0.0;4.3;210.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Social scientists and related workers, all other;"=""19-3099""";Line Item;0.5;0.0;1.2;0.5;0.0;1.2;0.0;5.5;212.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Life, physical, and social science technicians;"=""19-4000""";Summary;33.3;2.0;8.1;35.1;2.0;8.1;1.8;5.5;213.0;2;National_Employment_Matrix_IND_541300.csv;;;;
Agricultural and food science technicians;"=""19-4010""";Summary;2.0;0.1;4.4;2.1;0.1;4.4;0.1;5.3;214.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Agricultural technicians;"=""19-4012""";Line Item;1.2;0.1;6.0;1.2;0.1;5.9;0.1;5.3;215.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Food science technicians;"=""19-4013""";Line Item;0.8;0.0;3.2;0.8;0.0;3.1;0.0;5.3;216.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Biological technicians;"=""19-4021""";Line Item;3.0;0.2;3.6;3.2;0.2;3.6;0.2;5.3;217.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Chemical technicians;"=""19-4031""";Line Item;11.7;0.7;20.1;12.4;0.7;20.1;0.6;5.3;218.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Environmental science and geoscience technicians;"=""19-4040""";Summary;12.4;0.7;26.7;13.0;0.8;26.6;0.7;5.4;219.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Environmental science and protection technicians, including health;"=""19-4042""";Line Item;7.4;0.4;21.8;7.8;0.4;21.5;0.4;5.4;220.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Geological technicians, except hydrologic technicians;"=""19-4043""";Line Item;4.7;0.3;50.8;4.9;0.3;51.6;0.3;5.5;221.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Hydrologic technicians;"=""19-4044""";Line Item;0.3;0.0;10.2;0.3;0.0;10.5;0.0;5.4;222.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Nuclear technicians;"=""19-4051""";Line Item;0.2;0.0;3.4;0.2;0.0;3.8;0.0;5.4;223.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Forest and conservation technicians;"=""19-4071""";Line Item;0.1;0.0;0.3;0.1;0.0;0.3;0.0;4.9;225.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Miscellaneous life, physical, and social science technicians;"=""19-4090""";Summary;3.8;0.2;3.7;4.1;0.2;3.7;0.3;7.0;226.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Forensic science technicians;"=""19-4092""";Line Item;0.7;0.0;3.7;0.8;0.0;3.7;0.1;14.8;227.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Life, physical, and social science technicians, all other;"=""19-4099""";Line Item;3.1;0.2;3.8;3.3;0.2;3.8;0.2;5.3;228.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Occupational health and safety specialists and technicians;"=""19-5000""";Summary;3.1;0.2;2.0;3.6;0.2;2.0;0.5;15.5;229.0;2;National_Employment_Matrix_IND_541300.csv;;;;
Occupational health and safety specialists;"=""19-5011""";Line Item;2.5;0.2;2.0;2.9;0.2;2.0;0.4;17.1;230.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Occupational health and safety technicians;"=""19-5012""";Line Item;0.6;0.0;2.0;0.6;0.0;2.0;0.0;8.6;231.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Community and social service occupations;"=""21-0000""";Summary;0.1;0.0;0.0;0.1;0.0;0.0;0.0;5.5;232.0;1;National_Employment_Matrix_IND_541300.csv;;;;
Counselors, social workers, and other community and social service specialists;"=""21-1000""";Summary;0.1;0.0;0.0;0.1;0.0;0.0;0.0;5.5;233.0;2;National_Employment_Matrix_IND_541300.csv;;;;
Counselors;"=""21-1010""";Summary;0.1;0.0;0.0;0.1;0.0;0.0;0.0;5.5;234.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Legal occupations;"=""23-0000""";Summary;2.3;0.1;0.2;2.5;0.1;0.2;0.1;4.7;255.0;1;National_Employment_Matrix_IND_541300.csv;;;;
Lawyers, judges, and related workers;"=""23-1000""";Summary;1.6;0.1;0.2;1.7;0.1;0.2;0.1;5.4;256.0;2;National_Employment_Matrix_IND_541300.csv;;;;
Lawyers and judicial law clerks;"=""23-1010""";Summary;1.6;0.1;0.2;1.7;0.1;0.2;0.1;5.4;257.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Lawyers;"=""23-1011""";Line Item;1.6;0.1;0.2;1.7;0.1;0.2;0.1;5.4;258.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Legal support workers;"=""23-2000""";Summary;0.7;0.0;0.2;0.7;0.0;0.2;0.0;2.9;264.0;2;National_Employment_Matrix_IND_541300.csv;;;;
Paralegals and legal assistants;"=""23-2011""";Line Item;0.4;0.0;0.1;0.4;0.0;0.1;0.0;1.2;265.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Miscellaneous legal support workers;"=""23-2090""";Summary;0.3;0.0;0.3;0.3;0.0;0.3;0.0;5.6;266.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Title examiners, abstractors, and searchers;"=""23-2093""";Line Item;0.2;0.0;0.4;0.3;0.0;0.4;0.0;5.7;267.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Educational instruction and library occupations;"=""25-0000""";Summary;0.7;0.0;0.0;0.7;0.0;0.0;0.0;5.4;269.0;1;National_Employment_Matrix_IND_541300.csv;;;;
Other teachers and instructors;"=""25-3000""";Summary;0.3;0.0;0.0;0.3;0.0;0.0;0.0;5.5;335.0;2;National_Employment_Matrix_IND_541300.csv;;;;
Librarians, curators, and archivists;"=""25-4000""";Summary;0.1;0.0;0.0;0.1;0.0;0.0;0.0;4.9;341.0;2;National_Employment_Matrix_IND_541300.csv;;;;
Librarians and media collections specialists;"=""25-4022""";Line Item;0.1;0.0;0.1;0.1;0.0;0.1;0.0;4.7;346.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Arts, design, entertainment, sports, and media occupations;"=""27-0000""";Summary;26.9;1.6;0.9;27.8;1.6;0.9;0.9;3.4;355.0;1;National_Employment_Matrix_IND_541300.csv;;;;
Art and design workers;"=""27-1000""";Summary;20.8;1.3;2.2;21.6;1.2;2.2;0.7;3.6;356.0;2;National_Employment_Matrix_IND_541300.csv;;;;
Artists and related workers;"=""27-1010""";Summary;0.8;0.0;0.3;0.8;0.0;0.3;0.0;4.6;357.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Art directors;"=""27-1011""";Line Item;0.2;0.0;0.2;0.3;0.0;0.2;0.0;3.6;358.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Fine artists, including painters, sculptors, and illustrators;"=""27-1013""";Line Item;0.1;0.0;0.3;0.1;0.0;0.3;0.0;5.2;360.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Special effects artists and animators;"=""27-1014""";Line Item;0.4;0.0;0.5;0.4;0.0;0.5;0.0;5.1;361.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Artists and related workers, all other;"=""27-1019""";Line Item;0.1;0.0;0.4;0.1;0.0;0.4;0.0;4.9;362.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Designers;"=""27-1020""";Summary;20.1;1.2;2.8;20.8;1.2;2.9;0.7;3.6;363.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Commercial and industrial designers;"=""27-1021""";Line Item;2.5;0.2;7.4;2.6;0.2;7.5;0.1;5.2;364.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Graphic designers;"=""27-1024""";Line Item;3.0;0.2;1.1;3.1;0.2;1.1;0.1;4.5;367.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Interior designers;"=""27-1025""";Line Item;14.0;0.8;15.2;14.5;0.8;15.1;0.4;3.0;368.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Designers, all other;"=""27-1029""";Line Item;0.5;0.0;1.7;0.5;0.0;1.7;0.0;4.1;371.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Entertainers and performers, sports and related workers;"=""27-2000""";Summary;0.1;0.0;0.0;0.1;0.0;0.0;0.0;4.7;372.0;2;National_Employment_Matrix_IND_541300.csv;;;;
Actors, producers, and directors;"=""27-2010""";Summary;0.1;0.0;0.0;0.1;0.0;0.0;0.0;4.7;373.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Producers and directors;"=""27-2012""";Line Item;0.1;0.0;0.0;0.1;0.0;0.0;0.0;4.7;375.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Media and communication workers;"=""27-3000""";Summary;5.3;0.3;0.6;5.4;0.3;0.6;0.1;2.6;389.0;2;National_Employment_Matrix_IND_541300.csv;;;;
Public relations specialists;"=""27-3031""";Line Item;2.0;0.1;0.6;2.1;0.1;0.6;0.1;5.1;392.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Writers and editors;"=""27-3040""";Summary;3.2;0.2;1.0;3.2;0.2;1.0;0.0;1.0;393.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Editors;"=""27-3041""";Line Item;0.3;0.0;0.2;0.3;0.0;0.3;0.0;5.5;394.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Technical writers;"=""27-3042""";Line Item;2.7;0.2;5.3;2.7;0.2;5.1;0.0;0.1;395.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Writers and authors;"=""27-3043""";Line Item;0.3;0.0;0.2;0.3;0.0;0.2;0.0;4.8;396.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Miscellaneous media and communication workers;"=""27-3090""";Summary;0.1;0.0;0.1;0.1;0.0;0.1;0.0;5.4;397.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Interpreters and translators;"=""27-3091""";Line Item;0.1;0.0;0.1;0.1;0.0;0.1;0.0;5.3;398.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Media and communication equipment workers;"=""27-4000""";Summary;0.7;0.0;0.2;0.8;0.0;0.2;0.0;4.2;401.0;2;National_Employment_Matrix_IND_541300.csv;;;;
Broadcast, sound, and lighting technicians;"=""27-4010""";Summary;0.3;0.0;0.2;0.3;0.0;0.2;0.0;4.5;402.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Audio and video technicians;"=""27-4011""";Line Item;0.3;0.0;0.3;0.3;0.0;0.3;0.0;5.3;403.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Photographers;"=""27-4021""";Line Item;0.3;0.0;0.2;0.3;0.0;0.2;0.0;5.2;407.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Television, video, and film camera operators and editors;"=""27-4030""";Summary;0.1;0.0;0.1;0.1;0.0;0.1;0.0;1.2;408.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Camera operators, television, video, and film;"=""27-4031""";Line Item;0.1;0.0;0.2;0.1;0.0;0.2;0.0;0.2;409.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Healthcare practitioners and technical occupations;"=""29-0000""";Summary;3.0;0.2;0.0;3.2;0.2;0.0;0.2;5.1;412.0;1;National_Employment_Matrix_IND_541300.csv;;;;
Healthcare diagnosing or treating practitioners;"=""29-1000""";Summary;0.3;0.0;0.0;0.4;0.0;0.0;0.0;5.3;413.0;2;National_Employment_Matrix_IND_541300.csv;;;;
Registered nurses;"=""29-1141""";Line Item;0.1;0.0;0.0;0.1;0.0;0.0;0.0;5.5;436.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Health technologists and technicians;"=""29-2000""";Summary;2.6;0.2;0.1;2.8;0.2;0.1;0.1;5.1;464.0;2;National_Employment_Matrix_IND_541300.csv;;;;
Clinical laboratory technologists and technicians;"=""29-2010""";Line Item;1.9;0.1;0.6;2.0;0.1;0.6;0.1;5.3;465.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Diagnostic related technologists and technicians;"=""29-2030""";Summary;0.4;0.0;0.1;0.4;0.0;0.1;0.0;5.3;466.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Radiologic technologists and technicians;"=""29-2034""";Line Item;0.4;0.0;0.2;0.4;0.0;0.2;0.0;5.3;470.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Healthcare support occupations;"=""31-0000""";Summary;0.5;0.0;0.0;0.5;0.0;0.0;0.0;5.3;497.0;1;National_Employment_Matrix_IND_541300.csv;;;;
Other healthcare support occupations;"=""31-9000""";Summary;0.5;0.0;0.0;0.5;0.0;0.0;0.0;5.3;511.0;2;National_Employment_Matrix_IND_541300.csv;;;;
Miscellaneous healthcare support occupations;"=""31-9090""";Summary;0.5;0.0;0.0;0.5;0.0;0.0;0.0;5.3;513.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Medical equipment preparers;"=""31-9093""";Line Item;0.1;0.0;0.1;0.1;0.0;0.1;0.0;5.3;516.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Phlebotomists;"=""31-9097""";Line Item;0.4;0.0;0.3;0.4;0.0;0.3;0.0;5.3;520.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Protective service occupations;"=""33-0000""";Summary;1.0;0.1;0.0;1.0;0.1;0.0;0.0;-0.3;522.0;1;National_Employment_Matrix_IND_541300.csv;;;;
Supervisors of protective service workers;"=""33-1000""";Summary;0.1;0.0;0.0;0.1;0.0;0.0;0.0;1.8;523.0;2;National_Employment_Matrix_IND_541300.csv;;;;
Miscellaneous first-line supervisors, protective service workers;"=""33-1090""";Summary;0.1;0.0;0.1;0.1;0.0;0.1;0.0;1.5;528.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Firefighting and prevention workers;"=""33-2000""";Summary;0.2;0.0;0.0;0.2;0.0;0.0;0.0;5.7;531.0;2;National_Employment_Matrix_IND_541300.csv;;;;
Fire inspectors;"=""33-2020""";Summary;0.1;0.0;0.7;0.1;0.0;0.7;0.0;5.6;533.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Fire inspectors and investigators;"=""33-2021""";Line Item;0.1;0.0;0.8;0.1;0.0;0.8;0.0;5.6;534.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Other protective service workers;"=""33-9000""";Summary;0.8;0.0;0.0;0.8;0.0;0.0;0.0;-1.7;546.0;2;National_Employment_Matrix_IND_541300.csv;;;;
Security guards and gambling surveillance officers;"=""33-9030""";Summary;0.7;0.0;0.1;0.6;0.0;0.1;0.0;-3.0;549.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Security guards;"=""33-9032""";Line Item;0.7;0.0;0.1;0.6;0.0;0.1;0.0;-3.0;551.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Miscellaneous protective service workers;"=""33-9090""";Summary;0.1;0.0;0.0;0.1;0.0;0.0;0.0;5.5;552.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Protective service workers, all other;"=""33-9099""";Line Item;0.1;0.0;0.1;0.1;0.0;0.1;0.0;5.5;557.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Food preparation and serving related occupations;"=""35-0000""";Summary;0.1;0.0;0.0;0.1;0.0;0.0;0.0;5.6;558.0;1;National_Employment_Matrix_IND_541300.csv;;;;
Cooks and food preparation workers;"=""35-2000""";Summary;0.1;0.0;0.0;0.1;0.0;0.0;0.0;5.6;562.0;2;National_Employment_Matrix_IND_541300.csv;;;;
Building and grounds cleaning and maintenance occupations;"=""37-0000""";Summary;10.3;0.6;0.2;10.7;0.6;0.2;0.4;3.4;581.0;1;National_Employment_Matrix_IND_541300.csv;;;;
Supervisors of building and grounds cleaning and maintenance workers;"=""37-1000""";Summary;1.1;0.1;0.2;1.2;0.1;0.2;0.0;3.1;582.0;2;National_Employment_Matrix_IND_541300.csv;;;;
First-line supervisors of housekeeping and janitorial workers;"=""37-1011""";Line Item;0.1;0.0;0.0;0.1;0.0;0.0;0.0;5.2;583.0;3;National_Employment_Matrix_IND_541300.csv;;;;
First-line supervisors of landscaping, lawn service, and groundskeeping workers;"=""37-1012""";Line Item;1.0;0.1;0.5;1.1;0.1;0.5;0.0;2.9;584.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Building cleaning and pest control workers;"=""37-2000""";Summary;1.8;0.1;0.0;1.9;0.1;0.0;0.1;5.3;585.0;2;National_Employment_Matrix_IND_541300.csv;;;;
Building cleaning workers;"=""37-2010""";Summary;1.8;0.1;0.0;1.9;0.1;0.1;0.1;5.3;586.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Janitors and cleaners, except maids and housekeeping cleaners;"=""37-2011""";Line Item;1.8;0.1;0.1;1.9;0.1;0.1;0.1;5.3;587.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Grounds maintenance workers;"=""37-3000""";Summary;7.4;0.4;0.6;7.6;0.4;0.6;0.2;3.0;591.0;2;National_Employment_Matrix_IND_541300.csv;;;;
Landscaping and groundskeeping workers;"=""37-3011""";Line Item;7.1;0.4;0.6;7.3;0.4;0.6;0.2;2.9;592.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Pesticide handlers, sprayers, and applicators, vegetation;"=""37-3012""";Line Item;0.1;0.0;0.3;0.1;0.0;0.3;0.0;5.8;593.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Tree trimmers and pruners;"=""37-3013""";Line Item;0.2;0.0;0.3;0.2;0.0;0.3;0.0;3.3;594.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Personal care and service occupations;"=""39-0000""";Summary;0.6;0.0;0.0;0.6;0.0;0.0;0.0;5.5;596.0;1;National_Employment_Matrix_IND_541300.csv;;;;
Animal care and service workers;"=""39-2000""";Summary;0.6;0.0;0.1;0.6;0.0;0.1;0.0;5.5;602.0;2;National_Employment_Matrix_IND_541300.csv;;;;
Animal caretakers;"=""39-2021""";Line Item;0.1;0.0;0.0;0.2;0.0;0.0;0.0;5.3;604.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Sales and related occupations;"=""41-0000""";Summary;17.9;1.1;0.1;18.3;1.1;0.1;0.4;2.3;644.0;1;National_Employment_Matrix_IND_541300.csv;;;;
Supervisors of sales workers;"=""41-1000""";Summary;0.7;0.0;0.0;0.8;0.0;0.0;0.0;5.5;645.0;2;National_Employment_Matrix_IND_541300.csv;;;;
First-line supervisors of non-retail sales workers;"=""41-1012""";Line Item;0.7;0.0;0.2;0.8;0.0;0.2;0.0;5.5;647.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Retail sales workers;"=""41-2000""";Summary;0.3;0.0;0.0;0.3;0.0;0.0;0.0;1.5;648.0;2;National_Employment_Matrix_IND_541300.csv;;;;
Retail salespersons;"=""41-2031""";Line Item;0.2;0.0;0.0;0.2;0.0;0.0;0.0;3.2;655.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Sales representatives, services;"=""41-3000""";Summary;11.2;0.7;0.5;11.4;0.7;0.5;0.2;2.1;656.0;2;National_Employment_Matrix_IND_541300.csv;;;;
Sales representatives of services, except advertising, insurance, financial services, and travel;"=""41-3091""";Line Item;11.1;0.7;0.9;11.3;0.7;0.9;0.2;2.1;661.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Sales representatives, wholesale and manufacturing;"=""41-4000""";Summary;3.3;0.2;0.2;3.3;0.2;0.2;0.0;1.2;662.0;2;National_Employment_Matrix_IND_541300.csv;;;;
Sales representatives, wholesale and manufacturing, technical and scientific products;"=""41-4011""";Line Item;1.6;0.1;0.5;1.6;0.1;0.5;0.0;0.2;663.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Sales representatives, wholesale and manufacturing, except technical and scientific products;"=""41-4012""";Line Item;1.7;0.1;0.1;1.7;0.1;0.1;0.0;2.2;664.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Other sales and related workers;"=""41-9000""";Summary;2.4;0.1;0.3;2.5;0.1;0.3;0.1;3.9;665.0;2;National_Employment_Matrix_IND_541300.csv;;;;
Real estate brokers and sales agents;"=""41-9020""";Summary;0.6;0.0;0.1;0.7;0.0;0.1;0.0;5.5;669.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Real estate sales agents;"=""41-9022""";Line Item;0.6;0.0;0.1;0.7;0.0;0.1;0.0;5.5;671.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Sales engineers;"=""41-9031""";Line Item;1.5;0.1;2.5;1.5;0.1;2.4;0.0;3.4;672.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Miscellaneous sales and related workers;"=""41-9090""";Summary;0.3;0.0;0.2;0.3;0.0;0.2;0.0;5.2;674.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Sales and related workers, all other;"=""41-9099""";Line Item;0.3;0.0;0.2;0.3;0.0;0.2;0.0;5.2;676.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Office and administrative support occupations;"=""43-0000""";Summary;137.2;8.3;0.7;132.6;7.6;0.7;-4.6;-3.4;677.0;1;National_Employment_Matrix_IND_541300.csv;;;;
Supervisors of office and administrative support workers;"=""43-1000""";Summary;10.6;0.6;0.7;10.0;0.6;0.7;-0.6;-5.3;678.0;2;National_Employment_Matrix_IND_541300.csv;;;;
First-line supervisors of office and administrative support workers;"=""43-1011""";Line Item;10.6;0.6;0.7;10.0;0.6;0.7;-0.6;-5.3;679.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Communications equipment operators;"=""43-2000""";Summary;0.1;0.0;0.1;0.0;0.0;0.1;0.0;-26.1;680.0;2;National_Employment_Matrix_IND_541300.csv;;;;
Financial clerks;"=""43-3000""";Summary;20.5;1.2;0.7;19.3;1.1;0.7;-1.2;-6.0;684.0;2;National_Employment_Matrix_IND_541300.csv;;;;
Bill and account collectors;"=""43-3011""";Line Item;0.5;0.0;0.3;0.5;0.0;0.3;0.0;-5.1;685.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Billing and posting clerks;"=""43-3021""";Line Item;1.8;0.1;0.4;1.7;0.1;0.4;-0.1;-5.2;686.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Bookkeeping, accounting, and auditing clerks;"=""43-3031""";Line Item;16.6;1.0;1.0;15.7;0.9;1.0;-0.9;-5.5;687.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Payroll and timekeeping clerks;"=""43-3051""";Line Item;1.0;0.1;0.7;0.9;0.1;0.6;-0.2;-15.8;689.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Procurement clerks;"=""43-3061""";Line Item;0.4;0.0;0.6;0.4;0.0;0.6;0.0;-5.1;690.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Financial clerks, all other;"=""43-3099""";Line Item;0.1;0.0;0.1;0.1;0.0;0.1;0.0;5.5;692.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Information and record clerks;"=""43-4000""";Summary;12.8;0.8;0.2;12.2;0.7;0.2;-0.6;-5.1;693.0;2;National_Employment_Matrix_IND_541300.csv;;;;
Customer service representatives;"=""43-4051""";Line Item;6.8;0.4;0.2;6.4;0.4;0.2;-0.3;-5.1;698.0;3;National_Employment_Matrix_IND_541300.csv;;;;
File clerks;"=""43-4071""";Line Item;0.6;0.0;0.7;0.5;0.0;0.7;-0.1;-16.0;700.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Interviewers, except eligibility and loan;"=""43-4111""";Line Item;0.4;0.0;0.2;0.4;0.0;0.2;0.0;-4.6;702.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Order clerks;"=""43-4151""";Line Item;0.3;0.0;0.3;0.3;0.0;0.3;0.0;-15.6;706.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Human resources assistants, except payroll and timekeeping;"=""43-4161""";Line Item;0.8;0.0;0.7;0.7;0.0;0.7;0.0;-5.4;707.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Receptionists and information clerks;"=""43-4171""";Line Item;3.5;0.2;0.3;3.4;0.2;0.3;-0.1;-3.3;708.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Information and record clerks, all other;"=""43-4199""";Line Item;0.4;0.0;0.2;0.4;0.0;0.2;0.0;5.5;710.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Material recording, scheduling, dispatching, and distributing workers;"=""43-5000""";Summary;13.8;0.8;0.6;14.0;0.8;0.6;0.2;1.7;711.0;2;National_Employment_Matrix_IND_541300.csv;;;;
Couriers and messengers;"=""43-5021""";Line Item;1.8;0.1;0.8;1.9;0.1;0.8;0.1;5.3;713.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Dispatchers;"=""43-5030""";Summary;1.3;0.1;0.4;1.3;0.1;0.4;0.0;0.2;714.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Dispatchers, except police, fire, and ambulance;"=""43-5032""";Line Item;1.3;0.1;0.6;1.3;0.1;0.6;0.0;0.2;716.0;4;National_Employment_Matrix_IND_541300.csv;;;;
