occupation_title;occupation_code;2023_employment;projected_2033_employment;employment_percent_change_2023-2033;employment_change_2023-2033
Bus and truck mechanics and diesel engine specialists;"=""49-3031""";0.2;0.2;5.5;0.0
Heavy vehicle and mobile equipment service technicians and mechanics;"=""49-3040""";0.5;0.6;5.5;0.0
Mobile heavy equipment mechanics, except engines;"=""49-3042""";0.5;0.6;5.5;0.0
Other installation, maintenance, and repair occupations;"=""49-9000""";12.2;12.8;5.4;0.7
Heating, air conditioning, and refrigeration mechanics and installers;"=""49-9021""";1.2;1.2;5.5;0.1
Industrial machinery installation, repair, and maintenance workers;"=""49-9040""";2.9;3.0;5.5;0.2
Industrial machinery mechanics;"=""49-9041""";2.2;2.3;5.5;0.1
Maintenance workers, machinery;"=""49-9043""";0.4;0.4;5.5;0.0
Millwrights;"=""49-9044""";0.3;0.4;5.5;0.0
Line installers and repairers;"=""49-9050""";1.2;1.2;5.6;0.1
Telecommunications line installers and repairers;"=""49-9052""";0.8;0.9;5.5;0.0
Precision instrument and equipment repairers;"=""49-9060""";0.5;0.5;5.4;0.0
Precision instrument and equipment repairers, all other;"=""49-9069""";0.4;0.4;5.4;0.0
Maintenance and repair workers, general;"=""49-9071""";4.0;4.2;5.3;0.2
Wind turbine service technicians;"=""49-9081""";0.1;0.1;5.4;0.0
Miscellaneous installation, maintenance, and repair workers;"=""49-9090""";2.3;2.4;5.3;0.1
Commercial divers;"=""49-9092""";0.1;0.1;5.6;0.0
Helpers--installation, maintenance, and repair workers;"=""49-9098""";0.5;0.6;5.5;0.0
Installation, maintenance, and repair workers, all other;"=""49-9099""";1.4;1.5;5.3;0.1
Production occupations;"=""51-0000""";59.4;60.9;2.5;1.5
Supervisors of production workers;"=""51-1000""";4.8;5.0;5.4;0.3
First-line supervisors of production and operating workers;"=""51-1011""";4.8;5.0;5.4;0.3
Assemblers and fabricators;"=""51-2000""";10.7;11.0;2.7;0.3
Aircraft structure, surfaces, rigging, and systems assemblers;"=""51-2011""";0.5;0.4;-15.6;-0.1
Electrical, electronics, and electromechanical assemblers;"=""51-2020""";5.3;5.6;5.5;0.3
Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers;"=""51-2028""";5.3;5.6;5.5;0.3
Engine and other machine assemblers;"=""51-2031""";0.9;0.8;-5.0;0.0
Structural metal fabricators and fitters;"=""51-2041""";0.3;0.2;-15.5;0.0
Miscellaneous assemblers and fabricators;"=""51-2090""";3.7;3.8;4.3;0.2
Metal workers and plastic workers;"=""51-4000""";7.6;7.9;3.2;0.2
Machine tool cutting setters, operators, and tenders, metal and plastic;"=""51-4030""";0.7;0.6;-7.7;-0.1
Cutting, punching, and press machine setters, operators, and tenders, metal and plastic;"=""51-4031""";0.1;0.1;-5.1;0.0
Drilling and boring machine tool setters, operators, and tenders, metal and plastic;"=""51-4032""";0.1;0.1;-15.7;0.0
Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic;"=""51-4033""";0.4;0.3;-5.0;0.0
Machinists;"=""51-4041""";2.8;3.0;5.5;0.2
Model makers and patternmakers, metal and plastic;"=""51-4060""";0.3;0.2;-15.6;0.0
Model makers, metal and plastic;"=""51-4061""";0.3;0.2;-15.6;0.0
Molders and molding machine setters, operators, and tenders, metal and plastic;"=""51-4070""";0.3;0.3;0.0;0.0
Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic;"=""51-4072""";0.3;0.3;0.3;0.0
Multiple machine tool setters, operators, and tenders, metal and plastic;"=""51-4081""";0.1;0.1;5.5;0.0
Tool and die makers;"=""51-4111""";0.4;0.4;5.5;0.0
Welding, soldering, and brazing workers;"=""51-4120""";3.1;3.2;4.9;0.2
Welders, cutters, solderers, and brazers;"=""51-4121""";2.9;3.1;5.6;0.2
Printing workers;"=""51-5100""";0.2;0.2;5.7;0.0
Printing press operators;"=""51-5112""";0.1;0.1;5.5;0.0
Woodworkers;"=""51-7000""";0.1;0.1;3.6;0.0
Plant and system operators;"=""51-8000""";1.6;1.6;-0.8;0.0
Power plant operators, distributors, and dispatchers;"=""51-8010""";0.3;0.3;0.3;0.0
Power plant operators;"=""51-8013""";0.3;0.3;0.2;0.0
Stationary engineers and boiler operators;"=""51-8021""";0.2;0.2;5.5;0.0
Water and wastewater treatment plant and system operators;"=""51-8031""";0.8;0.8;-5.0;0.0
Miscellaneous plant and system operators;"=""51-8090""";0.3;0.3;5.5;0.0
Plant and system operators, all other;"=""51-8099""";0.2;0.3;5.5;0.0
Other production occupations;"=""51-9000""";34.4;35.1;2.0;0.7
Chemical processing machine setters, operators, and tenders;"=""51-9010""";0.2;0.2;5.3;0.0
Chemical equipment operators and tenders;"=""51-9011""";0.2;0.2;5.3;0.0
Crushing, grinding, polishing, mixing, and blending workers;"=""51-9020""";0.2;0.2;3.3;0.0
Crushing, grinding, and polishing machine setters, operators, and tenders;"=""51-9021""";0.1;0.1;0.2;0.0
Mixing and blending machine setters, operators, and tenders;"=""51-9023""";0.1;0.1;5.5;0.0
Inspectors, testers, sorters, samplers, and weighers;"=""51-9061""";30.4;30.9;1.8;0.5
Packaging and filling machine operators and tenders;"=""51-9111""";0.1;0.1;5.4;0.0
Painting workers;"=""51-9120""";0.6;0.6;5.5;0.0
Coating, painting, and spraying machine setters, operators, and tenders;"=""51-9124""";0.5;0.6;5.5;0.0
Computer numerically controlled tool operators and programmers;"=""51-9160""";0.9;0.9;5.5;0.0
Computer numerically controlled tool operators;"=""51-9161""";0.5;0.5;-5.0;0.0
Computer numerically controlled tool programmers;"=""51-9162""";0.4;0.4;19.3;0.1
Miscellaneous production workers;"=""51-9190""";1.5;1.5;1.5;0.0
Helpers--production workers;"=""51-9198""";0.6;0.5;-5.1;0.0
Production workers, all other;"=""51-9199""";0.5;0.5;5.5;0.0
Transportation and material moving occupations;"=""53-0000""";11.2;11.8;5.1;0.6
Supervisors of transportation and material moving workers;"=""53-1000""";0.7;0.8;5.5;0.0
First-line supervisors of transportation and material moving workers, except aircraft cargo handling supervisors;"=""53-1047""";0.7;0.8;5.5;0.0
Air transportation workers;"=""53-2000""";0.6;0.7;5.6;0.0
Aircraft pilots and flight engineers;"=""53-2010""";0.5;0.6;5.6;0.0
Commercial pilots;"=""53-2012""";0.5;0.6;5.6;0.0
Motor vehicle operators;"=""53-3000""";3.3;3.4;5.3;0.2
Driver/sales workers and truck drivers;"=""53-3030""";2.2;2.3;5.3;0.1
Heavy and tractor-trailer truck drivers;"=""53-3032""";0.9;0.9;5.4;0.0
Light truck drivers;"=""53-3033""";1.3;1.4;5.2;0.1
Passenger vehicle drivers;"=""53-3050""";0.1;0.1;5.6;0.0
Motor vehicle operators, all other;"=""53-3099""";1.0;1.1;5.3;0.1
Water transportation workers;"=""53-5000""";0.4;0.4;5.7;0.0
Ship and boat captains and operators;"=""53-5020""";0.2;0.2;5.6;0.0
Captains, mates, and pilots of water vessels;"=""53-5021""";0.2;0.2;5.6;0.0
Other transportation workers;"=""53-6000""";1.0;1.1;5.5;0.1
Traffic technicians;"=""53-6041""";0.4;0.4;5.6;0.0
Transportation inspectors;"=""53-6051""";0.6;0.6;5.5;0.0
Material moving workers;"=""53-7000""";5.2;5.5;4.6;0.2
Industrial truck and tractor operators;"=""53-7051""";0.5;0.5;5.5;0.0
Laborers and material movers;"=""53-7060""";4.7;4.9;4.5;0.2
Cleaners of vehicles and equipment;"=""53-7061""";0.5;0.5;5.5;0.0
Laborers and freight, stock, and material movers, hand;"=""53-7062""";2.7;2.9;5.5;0.1
Machine feeders and offbearers;"=""53-7063""";0.3;0.2;-10.3;0.0
Packers and packagers, hand;"=""53-7064""";0.1;0.1;5.4;0.0
Stockers and order fillers;"=""53-7065""";1.1;1.2;5.4;0.1
Total, all occupations;"=""00-0000""";14366.2;14466.7;0.7;100.5
Management occupations;"=""11-0000""";895.4;916.5;2.4;21.1
Top executives;"=""11-1000""";92.5;94.6;2.3;2.1
Chief executives;"=""11-1011""";16.3;16.4;0.7;0.1
General and operations managers;"=""11-1021""";76.2;78.2;2.6;2.0
Advertising, marketing, promotions, public relations, and sales managers;"=""11-2000""";36.2;37.0;2.3;0.8
Advertising and promotions managers;"=""11-2011""";0.4;0.4;-12.4;-0.1
Marketing and sales managers;"=""11-2020""";13.3;13.7;2.8;0.4
Marketing managers;"=""11-2021""";10.5;10.8;2.7;0.3
Sales managers;"=""11-2022""";2.7;2.8;3.2;0.1
Public relations and fundraising managers;"=""11-2030""";22.5;23.0;2.3;0.5
Public relations managers;"=""11-2032""";10.4;10.6;2.5;0.3
Fundraising managers;"=""11-2033""";12.1;12.4;2.1;0.3
Operations specialties managers;"=""11-3000""";143.2;152.0;6.2;8.8
Administrative services and facilities managers;"=""11-3010""";48.3;49.3;2.1;1.0
Administrative services managers;"=""11-3012""";29.3;30.0;2.4;0.7
Facilities managers;"=""11-3013""";19.0;19.4;1.6;0.3
Computer and information systems managers;"=""11-3021""";33.3;36.5;9.5;3.2
Financial managers;"=""11-3031""";34.1;38.3;12.3;4.2
Industrial production managers;"=""11-3051""";0.3;0.3;1.7;0.0
Purchasing managers;"=""11-3061""";2.3;2.4;2.6;0.1
Transportation, storage, and distribution managers;"=""11-3071""";3.5;3.5;0.2;0.0
Compensation and benefits managers;"=""11-3111""";1.2;1.2;-3.1;0.0
Human resources managers;"=""11-3121""";15.4;15.7;1.9;0.3
Training and development managers;"=""11-3131""";4.8;4.9;3.1;0.1
Other management occupations;"=""11-9000""";623.5;632.8;1.5;9.3
Farmers, ranchers, and other agricultural managers;"=""11-9013""";0.4;0.4;4.2;0.0
Construction managers;"=""11-9021""";2.0;2.1;8.4;0.2
Education and childcare administrators;"=""11-9030""";552.5;557.6;0.9;5.1
Education and childcare administrators, preschool and daycare;"=""11-9031""";5.9;5.9;0.8;0.0
Education administrators, kindergarten through secondary;"=""11-9032""";304.4;302.6;-0.6;-1.8
Education administrators, postsecondary;"=""11-9033""";207.7;213.8;3.0;6.2
Education administrators, all other;"=""11-9039""";34.5;35.2;2.1;0.7
Architectural and engineering managers;"=""11-9041""";0.7;0.7;4.2;0.0
Food service managers;"=""11-9051""";7.4;7.4;0.5;0.0
Entertainment and recreation managers;"=""11-9070""";2.3;2.3;3.2;0.1
Entertainment and recreation managers, except gambling;"=""11-9072""";2.2;2.3;3.2;0.1
Lodging managers;"=""11-9081""";0.3;0.3;3.3;0.0
Medical and health services managers;"=""11-9111""";10.5;13.1;24.2;2.6
Natural sciences managers;"=""11-9121""";4.7;4.8;3.3;0.2
Property, real estate, and community association managers;"=""11-9141""";0.9;1.0;3.8;0.0
Social and community service managers;"=""11-9151""";7.0;7.2;2.7;0.2
Emergency management directors;"=""11-9161""";0.7;0.7;2.6;0.0
Personal service managers;"=""11-9170""";0.4;0.4;2.3;0.0
Personal service managers, all other;"=""11-9179""";0.4;0.4;2.3;0.0
Managers, all other;"=""11-9199""";33.8;34.7;2.8;0.9
Business and financial operations occupations;"=""13-0000""";472.9;488.1;3.2;15.2
Business operations specialists;"=""13-1000""";366.3;378.7;3.4;12.4
Buyers and purchasing agents;"=""13-1020""";13.2;13.3;0.4;0.1
Claims adjusters, appraisers, examiners, and investigators;"=""13-1030""";0.1;0.1;-7.5;0.0
Claims adjusters, examiners, and investigators;"=""13-1031""";0.1;0.1;-7.5;0.0
Compliance officers;"=""13-1041""";15.4;15.8;2.5;0.4
Cost estimators;"=""13-1051""";0.2;0.2;-4.4;0.0
Human resources workers;"=""13-1070""";51.3;52.4;2.1;1.1
Human resources specialists;"=""13-1071""";49.5;50.6;2.1;1.1
Labor relations specialists;"=""13-1075""";1.8;1.8;1.0;0.0
Logisticians and project management specialists;"=""13-1080""";35.4;36.8;3.9;1.4
Logisticians;"=""13-1081""";1.3;1.5;15.4;0.2
Project management specialists;"=""13-1082""";34.1;35.3;3.5;1.2
Management analysts;"=""13-1111""";22.2;23.0;3.8;0.8
Meeting, convention, and event planners;"=""13-1121""";14.8;15.3;3.0;0.4
Fundraisers;"=""13-1131""";28.8;29.5;2.4;0.7
Compensation, benefits, and job analysis specialists;"=""13-1141""";8.1;8.2;1.6;0.1
Training and development specialists;"=""13-1151""";46.1;49.7;7.8;3.6
Market research analysts and marketing specialists;"=""13-1161""";28.4;29.2;2.8;0.8
Business operations specialists, all other;"=""13-1199""";102.3;105.3;2.9;3.0
Financial specialists;"=""13-2000""";106.6;109.4;2.7;2.8
Accountants and auditors;"=""13-2011""";56.5;57.8;2.3;1.3
Property appraisers and assessors;"=""13-2020""";0.6;0.6;4.9;0.0
Budget analysts;"=""13-2031""";7.8;8.0;3.2;0.2
Credit analysts;"=""13-2041""";0.1;0.1;-7.6;0.0
Financial analysts and advisors;"=""13-2050""";12.4;12.9;3.6;0.4
Financial and investment analysts;"=""13-2051""";11.3;11.7;3.7;0.4
Personal financial advisors;"=""13-2052""";0.3;0.3;1.8;0.0
Financial risk specialists;"=""13-2054""";0.8;0.9;3.1;0.0
Financial examiners;"=""13-2061""";0.1;0.1;3.3;0.0
Credit counselors and loan officers;"=""13-2070""";19.8;20.3;2.6;0.5
Credit counselors;"=""13-2071""";16.6;17.1;2.4;0.4
Loan officers;"=""13-2072""";3.1;3.3;3.6;0.1
Financial specialists, all other;"=""13-2099""";9.4;9.6;3.0;0.3
Computer and mathematical occupations;"=""15-0000""";286.2;288.5;0.8;2.4
Computer occupations;"=""15-1200""";264.7;262.8;-0.7;-2.0
Computer and information analysts;"=""15-1210""";30.0;32.0;6.9;2.1
Computer systems analysts;"=""15-1211""";24.8;25.6;3.5;0.9
Information security analysts;"=""15-1212""";5.2;6.4;23.0;1.2
Computer and information research scientists;"=""15-1221""";2.6;3.1;20.5;0.5
Computer support specialists;"=""15-1230""";103.4;100.0;-3.3;-3.4
Computer network support specialists;"=""15-1231""";20.7;21.1;1.8;0.4
Computer user support specialists;"=""15-1232""";82.6;78.9;-4.6;-3.8
Database and network administrators and architects;"=""15-1240""";54.7;52.4;-4.2;-2.3
Computer network architects;"=""15-1241""";6.9;7.5;8.4;0.6
Database administrators;"=""15-1242""";8.2;8.4;2.2;0.2
Database architects;"=""15-1243""";1.4;1.4;2.7;0.0
Network and computer systems administrators;"=""15-1244""";38.3;35.2;-8.1;-3.1
Software and web developers, programmers, and testers;"=""15-1250""";50.6;51.2;1.2;0.6
Computer programmers;"=""15-1251""";12.6;10.7;-14.9;-1.9
Software developers;"=""15-1252""";24.5;26.6;8.6;2.1
Software quality assurance analysts and testers;"=""15-1253""";1.8;1.9;2.9;0.1
Web developers;"=""15-1254""";7.3;7.5;2.9;0.2
Web and digital interface designers;"=""15-1255""";4.4;4.5;2.9;0.1
Computer occupations, all other;"=""15-1299""";23.5;24.0;2.3;0.5
Mathematical science occupations;"=""15-2000""";21.4;25.8;20.2;4.3
Actuaries;"=""15-2011""";0.2;0.2;21.4;0.0
Mathematicians;"=""15-2021""";0.5;0.5;5.1;0.0
Operations research analysts;"=""15-2031""";7.7;9.2;19.5;1.5
Statisticians;"=""15-2041""";4.5;4.9;8.5;0.4
Data scientists;"=""15-2051""";8.2;10.6;28.7;2.4
Mathematical science occupations, all other;"=""15-2099""";0.4;0.4;3.7;0.0
Architecture and engineering occupations;"=""17-0000""";21.3;22.4;5.2;1.1
Architects, surveyors, and cartographers;"=""17-1000""";1.1;1.2;4.4;0.0
Architects, except naval;"=""17-1010""";1.0;1.0;4.4;0.0
Architects, except landscape and naval;"=""17-1011""";0.8;0.9;4.4;0.0
Landscape architects;"=""17-1012""";0.1;0.1;4.4;0.0
Surveyors, cartographers, and photogrammetrists;"=""17-1020""";0.2;0.2;3.9;0.0
Cartographers and photogrammetrists;"=""17-1021""";0.1;0.2;3.8;0.0
Engineers;"=""17-2000""";14.5;15.4;6.2;0.9
Aerospace engineers;"=""17-2011""";0.5;0.6;4.6;0.0
Agricultural engineers;"=""17-2021""";0.2;0.3;10.6;0.0
Bioengineers and biomedical engineers;"=""17-2031""";0.8;0.9;4.0;0.0
Chemical engineers;"=""17-2041""";0.4;0.4;5.4;0.0
Civil engineers;"=""17-2051""";2.3;2.4;4.7;0.1
Computer hardware engineers;"=""17-2061""";1.2;1.3;5.2;0.1
Electrical and electronics engineers;"=""17-2070""";1.6;1.7;6.2;0.1
Electrical engineers;"=""17-2071""";1.2;1.3;6.7;0.1
Electronics engineers, except computer;"=""17-2072""";0.4;0.4;4.5;0.0
Environmental engineers;"=""17-2081""";0.3;0.3;4.9;0.0
Industrial engineers, including health and safety;"=""17-2110""";0.7;0.8;9.6;0.1
Health and safety engineers, except mining safety engineers and inspectors;"=""17-2111""";0.2;0.3;4.0;0.0
Industrial engineers;"=""17-2112""";0.5;0.6;12.4;0.1
Marine engineers and naval architects;"=""17-2121""";0.1;0.1;4.2;0.0
Materials engineers;"=""17-2131""";0.2;0.3;4.9;0.0
Mechanical engineers;"=""17-2141""";1.8;2.0;12.9;0.2
Nuclear engineers;"=""17-2161""";0.1;0.1;4.6;0.0
Engineers, all other;"=""17-2199""";4.1;4.3;4.7;0.2
Drafters, engineering technicians, and mapping technicians;"=""17-3000""";5.7;5.9;2.7;0.2
Drafters;"=""17-3010""";0.6;0.6;-0.1;0.0
Architectural and civil drafters;"=""17-3011""";0.3;0.4;4.4;0.0
Mechanical drafters;"=""17-3013""";0.1;0.1;-7.9;0.0
Drafters, all other;"=""17-3019""";0.2;0.2;-6.6;0.0
Engineering technologists and technicians, except drafters;"=""17-3020""";5.0;5.1;3.0;0.1
Aerospace engineering and operations technologists and technicians;"=""17-3021""";0.3;0.3;2.6;0.0
Civil engineering technologists and technicians;"=""17-3022""";0.6;0.6;-0.4;0.0
Electrical and electronic engineering technologists and technicians;"=""17-3023""";1.1;1.2;4.2;0.0
Electro-mechanical and mechatronics technologists and technicians;"=""17-3024""";0.3;0.3;-5.2;0.0
Environmental engineering technologists and technicians;"=""17-3025""";0.1;0.1;0.0;0.0
Industrial engineering technologists and technicians;"=""17-3026""";0.1;0.1;4.2;0.0
Mechanical engineering technologists and technicians;"=""17-3027""";0.6;0.6;4.6;0.0
Calibration technologists and technicians;"=""17-3028""";0.1;0.1;4.6;0.0
Engineering technologists and technicians, except drafters, all other;"=""17-3029""";1.8;1.9;4.4;0.1
Surveying and mapping technicians;"=""17-3031""";0.1;0.1;3.8;0.0
Life, physical, and social science occupations;"=""19-0000""";216.9;227.5;4.9;10.7
Life scientists;"=""19-1000""";49.1;54.4;10.9;5.3
Agricultural and food scientists;"=""19-1010""";4.3;4.5;5.3;0.2
Animal scientists;"=""19-1011""";0.9;0.9;5.2;0.0
Food scientists and technologists;"=""19-1012""";0.6;0.6;5.4;0.0
Soil and plant scientists;"=""19-1013""";2.9;3.0;5.4;0.2
Biological scientists;"=""19-1020""";11.5;12.0;3.6;0.4
Biochemists and biophysicists;"=""19-1021""";2.6;2.7;4.4;0.1
Microbiologists;"=""19-1022""";1.4;1.5;4.8;0.1
Zoologists and wildlife biologists;"=""19-1023""";0.9;1.0;3.9;0.0
Biological scientists, all other;"=""19-1029""";6.6;6.8;3.0;0.2
Conservation scientists and foresters;"=""19-1030""";1.5;1.6;5.2;0.1
Conservation scientists;"=""19-1031""";1.1;1.1;5.1;0.1
Foresters;"=""19-1032""";0.4;0.4;5.3;0.0
Medical scientists;"=""19-1040""";30.3;34.8;15.1;4.6
Epidemiologists;"=""19-1041""";0.9;1.3;34.7;0.3
Medical scientists, except epidemiologists;"=""19-1042""";29.3;33.6;14.4;4.2
Life scientists, all other;"=""19-1099""";1.5;1.5;3.9;0.1
Physical scientists;"=""19-2000""";17.5;18.3;4.9;0.9
Astronomers and physicists;"=""19-2010""";3.9;4.1;4.4;0.2
Astronomers;"=""19-2011""";0.4;0.4;5.2;0.0
Physicists;"=""19-2012""";3.5;3.7;4.3;0.2
Atmospheric and space scientists;"=""19-2021""";1.5;1.6;5.4;0.1
Chemists and materials scientists;"=""19-2030""";3.5;3.7;4.0;0.1
Chemists;"=""19-2031""";2.6;2.7;3.8;0.1
Materials scientists;"=""19-2032""";0.9;1.0;4.6;0.0
Environmental scientists and geoscientists;"=""19-2040""";4.5;4.8;5.8;0.3
Environmental scientists and specialists, including health;"=""19-2041""";2.9;3.1;6.1;0.2
Geoscientists, except hydrologists and geographers;"=""19-2042""";1.4;1.5;5.1;0.1
Hydrologists;"=""19-2043""";0.1;0.2;5.7;0.0
Physical scientists, all other;"=""19-2099""";3.9;4.1;5.0;0.2
Social scientists and related workers;"=""19-3000""";73.4;73.9;0.7;0.5
Economists;"=""19-3011""";0.4;0.4;4.7;0.0
Survey researchers;"=""19-3022""";2.1;1.9;-7.0;-0.1
Psychologists;"=""19-3030""";63.3;63.6;0.4;0.3
Industrial-organizational psychologists;"=""19-3032""";0.1;0.1;2.7;0.0
Clinical and counseling psychologists;"=""19-3033""";3.9;4.1;4.2;0.2
School psychologists;"=""19-3034""";58.0;58.0;0.1;0.0
Psychologists, all other;"=""19-3039""";1.3;1.4;4.0;0.1
Sociologists;"=""19-3041""";0.8;0.8;5.2;0.0
Urban and regional planners;"=""19-3051""";0.1;0.1;4.4;0.0
Miscellaneous social scientists and related workers;"=""19-3090""";6.8;7.1;4.6;0.3
Anthropologists and archeologists;"=""19-3091""";0.5;0.5;5.1;0.0
Geographers;"=""19-3092""";0.2;0.2;5.1;0.0
Historians;"=""19-3093""";0.1;0.1;3.9;0.0
Political scientists;"=""19-3094""";0.3;0.4;5.0;0.0
Social scientists and related workers, all other;"=""19-3099""";5.6;5.9;4.5;0.3
Life, physical, and social science technicians;"=""19-4000""";70.2;73.3;4.4;3.1
Agricultural and food science technicians;"=""19-4010""";3.4;3.5;5.5;0.2
Agricultural technicians;"=""19-4012""";2.8;3.0;5.4;0.2
Food science technicians;"=""19-4013""";0.5;0.6;5.8;0.0
Biological technicians;"=""19-4021""";20.0;20.9;4.3;0.9
Chemical technicians;"=""19-4031""";2.6;2.7;4.3;0.1
Environmental science and geoscience technicians;"=""19-4040""";1.8;1.9;4.6;0.1
Environmental science and protection technicians, including health;"=""19-4042""";1.4;1.5;4.5;0.1
Geological technicians, except hydrologic technicians;"=""19-4043""";0.3;0.3;5.0;0.0
Hydrologic technicians;"=""19-4044""";0.1;0.1;5.2;0.0
Social science research assistants;"=""19-4061""";17.1;17.8;4.3;0.7
Forest and conservation technicians;"=""19-4071""";0.5;0.5;5.2;0.0
Miscellaneous life, physical, and social science technicians;"=""19-4090""";24.8;25.9;4.5;1.1
Forensic science technicians;"=""19-4092""";0.8;0.8;4.1;0.0
Life, physical, and social science technicians, all other;"=""19-4099""";24.0;25.1;4.5;1.1
Occupational health and safety specialists and technicians;"=""19-5000""";6.7;7.6;13.1;0.9
Occupational health and safety specialists;"=""19-5011""";5.4;6.1;14.7;0.8
Occupational health and safety technicians;"=""19-5012""";1.4;1.4;6.8;0.1
Community and social service occupations;"=""21-0000""";483.3;500.2;3.5;16.9
Counselors, social workers, and other community and social service specialists;"=""21-1000""";475.4;492.2;3.5;16.8
Counselors;"=""21-1010""";362.0;377.7;4.3;15.7
Educational, guidance, and career counselors and advisors;"=""21-1012""";321.9;337.0;4.7;15.1
Marriage and family therapists;"=""21-1013""";0.9;0.9;2.1;0.0
Rehabilitation counselors;"=""21-1015""";1.8;1.9;1.4;0.0
Substance abuse, behavioral disorder, and mental health counselors;"=""21-1018""";35.0;35.5;1.4;0.5
Counselors, all other;"=""21-1019""";2.3;2.3;1.6;0.0
Social workers;"=""21-1020""";72.9;73.1;0.2;0.2
Child, family, and school social workers;"=""21-1021""";66.1;66.1;0.0;0.0
Healthcare social workers;"=""21-1022""";3.1;3.2;4.4;0.1
Mental health and substance abuse social workers;"=""21-1023""";2.1;2.1;1.7;0.0
Social workers, all other;"=""21-1029""";1.6;1.7;2.1;0.0
Miscellaneous community and social service specialists;"=""21-1090""";40.5;41.4;2.2;0.9
Health education specialists;"=""21-1091""";4.2;4.4;4.7;0.2
Social and human service assistants;"=""21-1093""";18.0;18.2;1.5;0.3
Community health workers;"=""21-1094""";2.6;2.8;7.9;0.2
Community and social service specialists, all other;"=""21-1099""";15.7;15.9;1.4;0.2
Religious workers;"=""21-2000""";7.9;8.0;1.4;0.1
Clergy;"=""21-2011""";4.2;4.3;0.8;0.0
Directors, religious activities and education;"=""21-2021""";2.9;2.9;2.4;0.1
Religious workers, all other;"=""21-2099""";0.8;0.8;1.1;0.0
Legal occupations;"=""23-0000""";7.9;8.0;2.2;0.2
Lawyers, judges, and related workers;"=""23-1000""";6.1;6.2;2.6;0.2
Lawyers and judicial law clerks;"=""23-1010""";5.5;5.6;2.7;0.1
Lawyers;"=""23-1011""";5.5;5.6;2.7;0.1
Judges, magistrates, and other judicial workers;"=""23-1020""";0.6;0.6;0.9;0.0
Arbitrators, mediators, and conciliators;"=""23-1022""";0.6;0.6;1.0;0.0
Legal support workers;"=""23-2000""";1.8;1.8;0.9;0.0
Paralegals and legal assistants;"=""23-2011""";1.1;1.0;-1.1;0.0
Miscellaneous legal support workers;"=""23-2090""";0.7;0.8;3.7;0.0
Legal support workers, all other;"=""23-2099""";0.7;0.7;3.6;0.0
Educational instruction and library occupations;"=""25-0000""";8179.1;8283.3;1.3;104.2
Postsecondary teachers;"=""25-1000""";1685.5;1799.1;6.7;113.6
Business teachers, postsecondary;"=""25-1011""";104.6;111.6;6.7;7.0
Math and computer science teachers, postsecondary;"=""25-1020""";103.3;107.9;4.5;4.7
Computer science teachers, postsecondary;"=""25-1021""";44.9;47.6;6.1;2.7
Mathematical science teachers, postsecondary;"=""25-1022""";58.4;60.3;3.3;1.9
Engineering and architecture teachers, postsecondary;"=""25-1030""";59.4;64.2;8.1;4.8
Architecture teachers, postsecondary;"=""25-1031""";10.6;11.0;3.2;0.3
Engineering teachers, postsecondary;"=""25-1032""";48.7;53.2;9.2;4.5
Life sciences teachers, postsecondary;"=""25-1040""";75.1;80.9;7.8;5.9
Agricultural sciences teachers, postsecondary;"=""25-1041""";9.4;9.8;4.8;0.5
Biological science teachers, postsecondary;"=""25-1042""";64.1;69.4;8.3;5.3
Forestry and conservation science teachers, postsecondary;"=""25-1043""";1.6;1.7;4.9;0.1
Physical sciences teachers, postsecondary;"=""25-1050""";66.3;68.6;3.6;2.4
Atmospheric, earth, marine, and space sciences teachers, postsecondary;"=""25-1051""";14.3;14.8;3.8;0.5
Chemistry teachers, postsecondary;"=""25-1052""";25.2;26.1;3.4;0.9
Environmental science teachers, postsecondary;"=""25-1053""";9.0;9.4;3.9;0.3
Physics teachers, postsecondary;"=""25-1054""";17.7;18.3;3.7;0.6
Social sciences teachers, postsecondary;"=""25-1060""";149.5;155.4;3.9;5.9
Anthropology and archeology teachers, postsecondary;"=""25-1061""";6.2;6.5;3.8;0.2
Area, ethnic, and cultural studies teachers, postsecondary;"=""25-1062""";14.7;15.2;3.6;0.5
Economics teachers, postsecondary;"=""25-1063""";15.5;16.0;3.5;0.5
Geography teachers, postsecondary;"=""25-1064""";4.3;4.5;4.3;0.2
Political science teachers, postsecondary;"=""25-1065""";21.6;22.3;3.3;0.7
Psychology teachers, postsecondary;"=""25-1066""";50.9;53.5;5.0;2.6
Sociology teachers, postsecondary;"=""25-1067""";16.0;16.6;3.4;0.5
Social sciences teachers, postsecondary, all other;"=""25-1069""";20.2;20.8;2.7;0.6
Health teachers, postsecondary;"=""25-1070""";354.7;420.2;18.5;65.5
Health specialties teachers, postsecondary;"=""25-1071""";268.5;318.6;18.7;50.1
Nursing instructors and teachers, postsecondary;"=""25-1072""";86.2;101.6;17.8;15.4
Education and library science teachers, postsecondary;"=""25-1080""";82.2;85.0;3.3;2.7
Education teachers, postsecondary;"=""25-1081""";77.0;79.5;3.3;2.5
Library science teachers, postsecondary;"=""25-1082""";5.3;5.5;4.2;0.2
